,item,IAB_Candidates,scores
15,Tire,"['Commercial Trucks', 'Pickup Trucks', 'Auto Parts', 'Auto Repair', 'Auto Shows', 'Motorcycles']",3
16,trailer truck,['Commercial Trucks'],3
17,Vehicle registration plate,"['Green Vehicles', 'Pickup Trucks', 'Auto Parts']",3
18,car wheel,"['Green Vehicles', 'Auto Body Styles', 'Auto Parts', 'Auto Repair', 'Automotive Industry']",3
19,limousine,['Luxury Cars'],3
20,minivan,"['Minivan', 'SUV']",3
21,Air brake,['Auto Parts'],3
22,gas_station,"['Station Wagon', 'Commercial Trucks']",3
23,jeep,['SUV'],3
24,Vehicle,"['Van', 'Automotive', 'Auto Body Styles', 'Commercial Trucks', 'Minivan', 'Pickup Trucks', 'Sedan', 'SUV', 'Auto Parts', 'Auto Rentals', 'Auto Repair', 'Auto Shows', 'Auto Type', 'Green Vehicles', 'Luxury Cars', 'Automotive Industry', 'Automotive', 'Auto Body Styles', 'Commercial Trucks', 'Sedan', 'SUV', 'Minivan', 'Pickup Trucks', 'Green Vehicles', 'Luxury Cars', 'Auto Type', 'Auto Parts', 'Auto Repair', 'Auto Shows', 'Auto Rentals']",3
25,police van,['Van'],3
26,moving van,['Van'],3
27,Van,"['Van', 'Auto Body Styles']",3
28,car_interior,"['Auto Body Styles', 'Auto Parts', 'Auto Rentals', 'Automotive Industry', 'Automotive', 'Sedan', 'Station Wagon', 'SUV', 'Coupe', 'Minivan', 'Green Vehicles', 'Luxury Cars', 'Auto Type', 'Auto Repair', 'Auto Shows', 'Convertible']",3
29,"Air horn, truck horn","['Pickup Trucks', 'Commercial Trucks', 'Station Wagon', 'Auto Parts', 'Green Vehicles']",3
30,garbage truck,['Auto Body Styles'],3
31,Land vehicle,"['Auto Parts', 'Road-Side Assistance', 'Automotive Industry']",3
32,Auto part,"['Auto Parts', 'Auto Repair', 'Technology Industry', 'Automotive', 'Auto Body Styles', 'Green Vehicles', 'Auto Type', 'Auto Rentals', 'Automotive Industry']",3
33,Aircraft,"['Aviation Industry', 'Air Travel', 'Aviation Industry']",3
34,Aircraft engine,"['Aviation Industry', 'Air Travel']",3
35,seat belt,['Auto Rentals'],3
36,Ambient music,['Music and Audio'],3
37,sports car,['Auto Repair'],3
38,repair_shop,['Auto Repair'],3
39,moped,['Motorcycles'],3
40,motor scooter,['Motorcycles'],3
41,Helmet,['Motorcycles'],3
42,crash helmet,['Motorcycles'],3
43,Angry music,['Music and Audio'],3
44,ambulance,['Road-Side Assistance'],3
45,highway,"['Road-Side Assistance', 'Green Vehicles', 'North America Travel']",3
46,Cell phone,"['Road-Side Assistance', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Music and Audio', 'Technology & Computing', 'Cameras and Camcorders', 'Smartphones', 'Consumer Electronics', 'Travel Accessories', 'Smartphones']",3
47,tow truck,['Road-Side Assistance'],3
48,Animal,"['Zoos & Aquariums', 'Pets', 'Birds', 'Cats', 'Dogs', 'Large Animals', 'Reptiles', 'Zoos & Aquariums', 'Large Animals', 'Reptiles', 'Pets', 'Birds', 'Cats', 'Dogs']",3
49,bookcase,['Books and Literature'],3
50,book jacket,['Books and Literature'],3
51,library,"['Books and Literature', 'Education']",3
52,bookshop,['Books and Literature'],3
53,comic book,['Books and Literature'],3
54,Bookcase,['Books and Literature'],3
55,archive,['Books and Literature'],3
56,bookstore,['Books and Literature'],3
57,Book,"['Books and Literature', 'Business and Finance', 'Education industry', 'Financial Industry', 'Education', 'College Education', 'Primary Education', 'Religion & Spirituality', 'Tablets and E-readers', 'Books and Literature']",3
58,Pen,"['Business and Finance', 'College Education']",3
59,Office building,"['Business and Finance', 'Technology Industry', 'Office Property']",3
60,Office supplies,['Business and Finance'],3
61,office_cubicles,['Business and Finance'],3
62,Building,"['Apparel Industry', 'Automotive Industry', 'Entertainment Industry', 'Food Industry', 'Hospitality Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Awards Shows', 'Bars & Restaurants', 'Casinos & Gambling', 'Cinemas and Events', 'Fashion Events', 'Malls & Shopping Centers', 'Museums & Galleries', 'Religious Events', 'Home Improvement', 'Remodeling & Construction', 'Smart Home', 'Real Estate', 'Apartments', 'Hotel Properties', 'Office Property', 'Retail Property', 'Grocery Shopping', 'Hotels and Motels', 'Theater Venues and Events', 'Houses']",3
63,wardrobe,"['Apparel Industry', ""Men's Clothing""]",3
64,assembly_line,['Apparel Industry'],3
65,bib,['Apparel Industry'],3
66,apron,['Apparel Industry'],3
67,cardigan,"['Apparel Industry', ""Men's Casual Wear""]",3
68,cowboy boot,"['Apparel Industry', ""Men's Casual Wear"", ""Women's Shoes and Footwear""]",3
69,Clothing,"['Apparel Industry', ""Men's Casual Wear"", 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear"", ""Women's Shoes and Footwear"", ""Men's Clothing"", ""Men's Formal Wear""]",3
70,clothing_store,"['Apparel Industry', 'Retail Industry', 'Retail Property', ""Men's Casual Wear"", ""Women's Formal Wear"", ""Women's Clothing"", ""Men's Clothing"", 'Malls & Shopping Centers', 'Shopping', 'Style & Fashion', ""Men's Formal Wear""]",3
71,bullet train,"['Automotive Industry', 'Travel', 'Rail Travel']",3
72,Helicopter,['Aviation Industry'],3
73,"Baby cry, infant cry",['Parenting'],3
74,Baby laughter,['Parenting'],3
75,aircraft carrier,"['Aviation Industry', 'Logistics and Transportation Industry', 'Air Travel']",3
76,space shuttle,"['Aviation Industry', 'Space and Astronomy', 'Air Travel']",3
77,airplane_cabin,"['Aviation Industry', 'Hospitality Industry', 'Air Travel']",3
78,airliner,"['Aviation Industry', 'Travel', 'Air Travel']",3
79,warplane,['Aviation Industry'],3
80,Airplane,"['Aviation Industry', 'Travel', 'Air Travel', 'Asia Travel', 'Europe Travel', 'Polar Travel', 'South America Travel', 'Aviation Industry', 'Air Travel', 'Travel']",3
81,laptop,"['Education industry', 'Education', 'Technology & Computing', 'Desktops', 'Laptops']",3
82,abacus,"['Education industry', 'Technology & Computing']",3
83,biology_laboratory,"['Education industry', 'Science', 'Medical Health']",3
84,campus,"['Education industry', 'Education', 'College Education', 'Graduation']",3
85,classroom,"['Education industry', 'Education', 'College Education', 'Primary Education', 'Daycare and Pre-School', 'Science']",3
86,Laptop,"['Education industry', 'Entertainment Industry', 'Financial Industry', 'Healthcare Industry', 'Hospitality Industry', 'Media Industry', 'Education', 'College Education', 'Primary Education', 'Hobbies & Interests', 'Music and Audio', 'Technology & Computing', 'Laptops', 'Consumer Electronics', 'Video Gaming', 'Laptops']",3
87,Microphone,"['Entertainment Industry', 'Birthday', 'Comedy Events', 'Music and Audio']",3
88,arena/rodeo,['Entertainment Industry'],3
89,amusement_arcade,"['Entertainment Industry', 'Games and Puzzles']",3
90,arena/performance,"['Entertainment Industry', 'Media Industry']",3
91,entertainment center,"['Entertainment Industry', 'Home Entertaining']",3
92,amusement_park,"['Entertainment Industry', 'Events and Attractions']",3
93,movie_theater/indoor,"['Entertainment Industry', 'Cinemas and Events', 'Theater Venues and Events', 'Movies']",3
94,cinema,"['Entertainment Industry', 'Media Industry', 'Cinemas and Events']",3
95,Television,"['Entertainment Industry', 'Media Industry', 'Consumer Electronics', 'Television', 'Video Gaming', 'Entertainment Industry', 'Movies', 'Television', 'Movies', 'Entertainment Industry', 'Movies', 'Television']",3
96,envelope,['Financial Industry'],3
97,cash machine,"['Financial Industry', 'Casinos & Gambling', 'Malls & Shopping Centers']",3
98,Basketball bounce,['Sports'],3
99,bank_vault,['Financial Industry'],3
100,Convenience store,"['Food Industry', 'Retail Industry', 'Shopping', 'Grocery Shopping', 'Household Supplies', 'Retail Property']",3
101,confectionery,"['Food Industry', 'Retail Industry']",3
102,bakery/shop,"['Food Industry', 'Birthday', 'Food & Drink', 'Desserts and Baking', 'World Cuisines', 'Retail Property', 'Shopping']",3
103,Bass drum,"['Musical Instruments', 'Music and Audio']",3
104,Food,"['Food Industry', 'Food & Drink', 'Desserts and Baking', 'World Cuisines', 'Healthy Living', 'Bars & Restaurants', 'Barbecues and Grilling', 'Cooking', 'Dining Out', 'Grocery Shopping']",3
105,Dutch oven,"['Food Industry', 'Cooking', 'Home Appliances']",3
106,stethoscope,"['Healthcare Industry', 'Medical Health']",3
107,drugstore,"['Healthcare Industry', 'Wellness', 'Oral care', 'Perfume and Fragrance', 'Deodorant and Antiperspirant']",3
108,Chair,"['Hospitality Industry', 'Dining Out', 'Bars & Restaurants', 'Casinos & Gambling', 'Cinemas and Events', 'Fashion Events', 'Home & Garden', 'Home Entertaining', 'Apartments', 'Hotel Properties', 'Houses', 'Office Property', 'Retail Property', 'Shopping', 'Hotels and Motels']",3
109,Bus,"['Logistics and Transportation Industry', 'Travel']",3
110,electric locomotive,"['Logistics and Transportation Industry', 'Rail Travel']",3
111,Bass guitar,"['Musical Instruments', 'Music and Audio']",3
112,bus_interior,['Logistics and Transportation Industry'],3
113,freight car,['Logistics and Transportation Industry'],3
114,Bathtub (filling or washing),['Bath and Shower'],3
115,Bicycle,"['Fitness and Exercise', 'Hobbies & Interests', 'Sports']",3
116,Bird,"['Birds', 'Large Animals', 'Zoos & Aquariums', 'Pets', 'Birds', 'Large Animals', 'Beach Travel', 'Birds', 'Large Animals']",3
117,Box,['Retail Industry'],3
118,jewelry_shop,"['Retail Industry', 'Retail Property', ""Women's Jewelry and Watches"", 'Shopping']",3
119,butcher shop,"['Retail Industry', 'Retail Property']",3
120,candy_store,"['Retail Industry', 'Shopping', 'Malls & Shopping Centers', 'Food & Drink', 'Desserts and Baking']",3
121,department_store,"['Retail Industry', 'Retail Property', 'Grocery Shopping', 'Business and Finance', 'Malls & Shopping Centers', 'Shopping', 'Flower Shopping', 'Holiday Shopping', ""Women's Jewelry and Watches"", ""Men's Clothing"", 'Consumer Electronics']",3
122,dial telephone,"['Technology Industry', 'Telecommunications Industry']",3
123,coil,['Technology Industry'],3
124,Computer keyboard,"['Technology Industry', 'Technology & Computing', 'Desktops', 'Laptops', 'Smartphones', 'Consumer Electronics', 'Technology & Computing', 'Desktops', 'Laptops', 'Smartphones', 'Video Gaming', 'Video Gaming', 'Laptops', 'Technology & Computing', 'Desktops', 'Video Gaming', 'Smartphones']",3
125,computer keyboard,"['Technology Industry', 'Technology & Computing', 'Desktops', 'Consumer Electronics']",3
126,cellular telephone,"['Technology Industry', 'Smartphones', 'Consumer Electronics']",3
127,Clock,"['Technology Industry', 'Technology & Computing']",3
128,"Bird flight, flapping wings",['Birds'],3
129,"Bird vocalization, bird call, bird song",['Birds'],3
130,modem,['Telecommunications Industry'],3
131,notebook,['Education'],3
132,Human body,['Deodorant and Antiperspirant'],3
133,Girl,"['Education', 'Primary Education', 'Cooking', 'Fitness and Exercise', 'Gardening', 'Home Improvement', 'Shopping', ""Children's Games and Toys"", 'Grocery Shopping', ""Men's Casual Wear"", 'Nail Care', ""Women's Clothing"", 'Africa Travel', 'Asia Travel', 'South America Travel', 'Parenting', 'Single Life', 'Daycare and Pre-School', 'Dating', 'Prom']",3
134,kindergarden_classroom,"['Education', 'Primary Education', 'Daycare and Pre-School']",3
135,Glasses,['College Education'],3
136,paintbrush,['College Education'],3
137,Human eye,['Makeup and Accessories'],3
138,art_school,"['College Education', 'Primary Education', 'Fine Art', 'Education industry', 'Education', 'Graduation', 'Theater Venues and Events', 'Hobbies & Interests']",3
139,mortarboard,"['College Education', 'Graduation']",3
140,snorkel,['Events and Attractions'],3
141,basketball,['Events and Attractions'],3
142,Horse,"['Events and Attractions', 'Pets', 'Large Animals', 'Large Animals']",3
143,stage,['Events and Attractions'],3
144,ball_pit,"['Events and Attractions', ""Children's Games and Toys""]",3
145,Baked goods,"['Birthday', 'Food Industry', 'Food & Drink', 'Cooking', 'Desserts and Baking', 'Grocery Shopping']",3
146,Cake stand,"['Birthday', 'Desserts and Baking', 'Food & Drink', 'Wedding']",3
147,Muffin,"['Birthday', 'Desserts and Baking']",3
148,microphone,"['Birthday', 'Comedy Events', 'Music and Audio']",3
149,Donut,"['Birthday', 'Desserts and Baking', 'Grocery Shopping']",3
150,Balloon,['Birthday'],3
151,balloon,['Birthday'],3
152,Cake,"['Birthday', 'Food & Drink', 'Cooking', 'Desserts and Baking', 'Wedding', 'Wedding', 'Birthday', 'Desserts and Baking']",3
153,academic gown,"['Graduation', ""Men's Formal Wear"", ""Women's Formal Wear""]",3
154,ballroom,"['Prom', 'Wedding']",3
155,Tie,"['Prom', 'Wedding', ""Men's Formal Wear"", ""Men's Clothing""]",3
156,Suit,"['Prom', 'Awards Shows', ""Men's Formal Wear"", ""Men's Clothing""]",3
157,bow tie,"['Prom', 'Awards Shows', ""Men's Formal Wear""]",3
158,suit,"['Prom', ""Men's Formal Wear"", ""Men's Clothing""]",3
159,gown,"['Prom', 'Wedding']",3
160,Dress,"['Prom', 'Wedding', 'Awards Shows', 'Fashion Events', 'Style & Fashion', ""Men's Casual Wear"", ""Men's Formal Wear"", ""Women's Formal Wear"", ""Women's Clothing""]",3
161,banquet_hall,"['Wedding', 'Dining Out']",3
162,groom,['Wedding'],3
163,"Boat, Water vehicle","['Logistics and Transportation Industry', 'Beach Travel']",3
164,restaurant_patio,"['Bars & Restaurants', 'Dining Out', 'Barbecues and Grilling']",3
165,Table,"['Bars & Restaurants', 'Dining Out']",3
166,sushi_bar,"['Bars & Restaurants', 'Dining Out', 'Food & Drink']",3
167,Dining table,"['Bars & Restaurants', 'Food & Drink', 'Barbecues and Grilling', 'Cooking', 'Desserts and Baking', 'Dining Out', 'World Cuisines', 'Home Entertaining', 'Apartments', 'Hotel Properties', 'Bars & Restaurants', 'Food & Drink', 'Dining Out']",3
168,bar,"['Bars & Restaurants', 'Alcoholic Beverages', 'Dining Out', 'Non-Alcoholic Beverages', 'Food & Drink']",3
169,restaurant,"['Bars & Restaurants', 'Dining Out', 'Hotels and Motels', 'Bars & Restaurants', 'Cooking', 'Dining Out', 'World Cuisines']",3
170,Human hair,['Hair Care'],3
171,auditorium,"['Cinemas and Events', 'Theater Venues and Events']",3
172,Boiling,['Cooking'],3
173,conference_center,['Comedy Events'],3
174,Bowed string instrument,['Musical Instruments'],3
175,Brass instrument,['Musical Instruments'],3
176,discotheque,['Concerts & Music Events'],3
177,electric guitar,"['Concerts & Music Events', 'Musical Instruments']",3
178,"Burst, pop",['Music and Audio'],3
179,Camera,"['Home Security', 'Cameras and Camcorders', 'Space and Astronomy', 'Cameras and Camcorders', 'Consumer Electronics', 'Travel Accessories']",3
180,"Canidae, dogs, wolves",['Large Animals'],3
181,dressing_room,"['Fashion Events', 'Shopping', ""Men's Formal Wear"", ""Women's Formal Wear"", ""Women's Clothing"", ""Men's Clothing""]",3
182,sarong,"['Fashion Events', 'Shopping', 'Beach Travel']",3
183,runway,['Fashion Events'],3
184,Backpack,"['Malls & Shopping Centers', 'Style & Fashion', 'Travel', 'Air Travel', 'Europe Travel', 'Polar Travel', 'Rail Travel', 'Travel Accessories']",3
185,toyshop,"['Malls & Shopping Centers', 'Board Games and Puzzles', 'Games and Puzzles']",3
186,plaza,['Malls & Shopping Centers'],3
187,downtown,"['Malls & Shopping Centers', 'Theater Venues and Events', 'Events and Attractions', 'Bars & Restaurants']",3
188,shopping_mall/indoor,"['Malls & Shopping Centers', 'Shopping', 'Holiday Shopping']",3
189,Human mouth,['Oral care'],3
190,Picture frame,"['Museums & Galleries', 'Fine Art']",3
191,science_museum,"['Museums & Galleries', 'Science', 'Space and Astronomy', 'Education', 'College Education', 'Primary Education']",3
192,museum/indoor,['Museums & Galleries'],3
193,natural_history_museum,['Museums & Galleries'],3
194,museum/outdoor,['Museums & Galleries'],3
195,art_gallery,"['Museums & Galleries', 'Fine Art']",3
196,Canoe,['Outdoor Activities'],3
197,Umbrella,"['Outdoor Activities', 'Beach Travel', 'Camping']",3
198,Frisbee,['Outdoor Activities'],3
199,croquet ball,"['Outdoor Activities', 'Sports', 'Sports']",3
200,parachute,"['Outdoor Activities', 'Air Travel']",3
201,bicycle-built-for-two,['Outdoor Activities'],3
202,canoe,"['Outdoor Activities', 'Parks & Nature']",3
203,bazaar/outdoor,['Outdoor Activities'],3
204,diner/outdoor,"['Outdoor Activities', 'Dining Out']",3
205,Boat,"['Outdoor Activities', 'Travel', 'Africa Travel', 'Asia Travel', 'Beach Travel', 'Cruises', 'Europe Travel', 'North America Travel', 'Polar Travel', 'South America Travel', 'Travel Locations', 'Beach Travel', 'Cruises', 'Australia and Oceania Travel']",3
206,cliff,['Parks & Nature'],3
207,Butterfly,['Parks & Nature'],3
208,valley,"['Parks & Nature', 'Travel Locations', 'North America Travel']",3
209,water_park,"['Parks & Nature', 'Events and Attractions', 'Outdoor Activities']",3
210,park,['Parks & Nature'],3
211,Bench,"['Parks & Nature', 'Religious Events', 'Home & Garden', 'Apartments', 'Retail Property']",3
212,forest_path,['Parks & Nature'],3
213,Tree,"['Parks & Nature', 'Home & Garden', 'Landscaping', 'Land and Farms']",3
214,church,['Religious Events'],3
215,mosque,['Religious Events'],3
216,altar,"['Religious Events', 'Religion & Spirituality']",3
217,prayer rug,"['Religious Events', 'Religion & Spirituality']",3
218,amphitheater,['Theater Venues and Events'],3
219,entrance_hall,['Theater Venues and Events'],3
220,theater curtain,['Theater Venues and Events'],3
221,lion,['Zoos & Aquariums'],3
222,sea slug,['Zoos & Aquariums'],3
223,king penguin,"['Zoos & Aquariums', 'Polar Travel']",3
224,coral reef,['Zoos & Aquariums'],3
225,sturgeon,['Zoos & Aquariums'],3
226,Snake,"['Zoos & Aquariums', 'Reptiles', 'Reptiles']",3
227,Starfish,['Zoos & Aquariums'],3
228,Panda,['Zoos & Aquariums'],3
229,Penguin,['Zoos & Aquariums'],3
230,Monkey,['Zoos & Aquariums'],3
231,starfish,['Zoos & Aquariums'],3
232,hammerhead,['Zoos & Aquariums'],3
233,Fish,['Zoos & Aquariums'],3
234,Zebra,['Zoos & Aquariums'],3
235,tiger,"['Zoos & Aquariums', 'Large Animals']",3
236,Bear,"['Zoos & Aquariums', 'Polar Travel', 'Polar Travel']",3
237,Tiger,"['Zoos & Aquariums', 'Large Animals']",3
238,koala,['Zoos & Aquariums'],3
239,Lion,['Zoos & Aquariums'],3
240,sea lion,['Zoos & Aquariums'],3
241,hippopotamus,['Zoos & Aquariums'],3
242,Giraffe,['Zoos & Aquariums'],3
243,giant panda,['Zoos & Aquariums'],3
244,Elephant,"['Zoos & Aquariums', 'Africa Travel']",3
245,aquarium,"['Zoos & Aquariums', 'Reptiles']",3
246,brass,['Fine Art'],3
247,artists_loft,"['Fine Art', 'Apartments']",3
248,Bronze sculpture,['Fine Art'],3
249,Sculpture,['Fine Art'],3
250,art_studio,"['Fine Art', 'Apartments', 'Makeup and Accessories']",3
251,ice cream,"['Food & Drink', 'Desserts and Baking']",3
252,delicatessen,"['Food & Drink', 'World Cuisines']",3
253,Sandwich,['Food & Drink'],3
254,Bottle,"['Food & Drink', 'Alcoholic Beverages', 'Non-Alcoholic Beverages', 'Food & Drink', 'Alcoholic Beverages', 'Non-Alcoholic Beverages']",3
255,Wine glass,"['Food & Drink', 'Alcoholic Beverages', 'Alcoholic Beverages', 'Food & Drink']",3
256,cheeseburger,['Food & Drink'],3
257,Drinking straw,"['Food & Drink', 'Alcoholic Beverages', 'Non-Alcoholic Beverages']",3
258,corn,['Food & Drink'],3
259,eggnog,['Food & Drink'],3
260,espresso,"['Food & Drink', 'Non-Alcoholic Beverages']",3
261,Fast food,"['Food & Drink', 'World Cuisines', 'Cooking', 'Dining Out']",3
262,pop bottle,"['Food & Drink', 'Non-Alcoholic Beverages']",3
263,wine bottle,"['Food & Drink', 'Alcoholic Beverages']",3
264,beer glass,"['Food & Drink', 'Alcoholic Beverages']",3
265,Drink,"['Food & Drink', 'Alcoholic Beverages', 'Non-Alcoholic Beverages']",3
266,beer bottle,"['Food & Drink', 'Alcoholic Beverages']",3
267,Coffee cup,"['Food & Drink', 'Dining Out', 'Non-Alcoholic Beverages', 'Food & Drink']",3
268,Bowl,"['Food & Drink', 'Barbecues and Grilling', 'Cooking', 'Desserts and Baking', 'Dining Out', 'World Cuisines', 'Pets']",3
269,Cocktail,"['Alcoholic Beverages', 'Non-Alcoholic Beverages', 'Food & Drink']",3
270,cocktail shaker,"['Alcoholic Beverages', 'Non-Alcoholic Beverages']",3
271,beer_hall,"['Alcoholic Beverages', 'Barbecues and Grilling', 'Food & Drink', 'Dining Out', 'Non-Alcoholic Beverages']",3
272,Refrigerator,"['Alcoholic Beverages', 'Non-Alcoholic Beverages', 'Home Appliances', 'Home Appliances']",3
273,beer_garden,"['Alcoholic Beverages', 'Barbecues and Grilling', 'Dining Out', 'Outdoor Activities', 'Food & Drink', 'Non-Alcoholic Beverages']",3
274,Wine rack,"['Alcoholic Beverages', 'Food & Drink']",3
275,red wine,"['Alcoholic Beverages', 'Dining Out']",3
276,Beer,"['Alcoholic Beverages', 'Barbecues and Grilling', 'Food & Drink']",3
277,Wine,"['Alcoholic Beverages', 'Food & Drink']",3
278,shopping cart,['Barbecues and Grilling'],3
279,Hot dog,"['Barbecues and Grilling', 'Food & Drink', 'Food & Drink']",3
280,Boy,"['Barbecues and Grilling', 'Cooking', 'Gardening', 'Home Improvement', 'Oral care', 'Beach Travel', 'Family and Relationships']",3
281,hotdog,['Barbecues and Grilling'],3
282,butchers_shop,"['Barbecues and Grilling', 'Shopping']",3
283,ladle,['Cooking'],3
284,wok,['Cooking'],3
285,frying pan,['Cooking'],3
286,Crock Pot,['Cooking'],3
287,microwave,"['Cooking', 'Home Appliances']",3
288,ice_cream_parlor,"['Desserts and Baking', 'Food & Drink']",3
289,trifle,['Desserts and Baking'],3
290,tray,['Desserts and Baking'],3
291,bakery,['Desserts and Baking'],3
292,pretzel,['Desserts and Baking'],3
293,Candy,['Desserts and Baking'],3
294,dough,['Desserts and Baking'],3
295,custard apple,['Desserts and Baking'],3
296,Cookie,['Desserts and Baking'],3
297,chocolate sauce,['Desserts and Baking'],3
298,Dessert,"['Desserts and Baking', 'Food & Drink']",3
299,dining table,"['Dining Out', 'Home Entertaining']",3
300,restaurant_kitchen,"['Dining Out', 'Food Industry', 'Bars & Restaurants', 'Desserts and Baking']",3
301,water jug,['Non-Alcoholic Beverages'],3
302,water bottle,['Non-Alcoholic Beverages'],3
303,Juice,"['Non-Alcoholic Beverages', 'Food & Drink']",3
304,Tea,['Non-Alcoholic Beverages'],3
305,coffee mug,['Non-Alcoholic Beverages'],3
306,Coffee,"['Non-Alcoholic Beverages', 'Food & Drink', 'Dining Out']",3
307,tricycle,"['Fitness and Exercise', ""Children's Games and Toys""]",3
308,dumbbell,"['Fitness and Exercise', 'Wellness', 'Healthy Living']",3
309,ice_skating_rink/indoor,['Fitness and Exercise'],3
310,ice_skating_rink/outdoor,['Fitness and Exercise'],3
311,Treadmill,"['Fitness and Exercise', 'Wellness']",3
312,Sports equipment,"['Fitness and Exercise', 'Sports', 'Hobbies & Interests', 'Wellness']",3
313,Stationary bicycle,['Fitness and Exercise'],3
314,barbell,"['Fitness and Exercise', 'Wellness']",3
315,gymnasium/indoor,['Fitness and Exercise'],3
316,Surfboard,['Wellness'],3
317,Apple,"['Wellness', 'Grocery Shopping', 'Smartphones', 'Tablets and E-readers', 'Healthy Living']",3
318,Broccoli,"['Wellness', 'Gardening', 'Healthy Living']",3
319,Hiking equipment,"['Wellness', 'Healthy Living', 'Outdoor Activities', 'Fitness and Exercise', 'Travel']",3
320,Human leg,['Wellness'],3
321,Training bench,"['Wellness', 'Fitness and Exercise']",3
322,Snowboard,['Hobbies & Interests'],3
323,jigsaw puzzle,"['Board Games and Puzzles', 'Games and Puzzles', ""Children's Games and Toys""]",3
324,playroom,"['Card Games', 'Games and Puzzles', ""Children's Games and Toys""]",3
325,crossword puzzle,"['Games and Puzzles', 'Hobbies & Interests', 'Education', 'Hobbies & Interests', 'Education']",3
326,upright,['Musical Instruments'],3
327,maraca,['Musical Instruments'],3
328,cornet,['Musical Instruments'],3
329,harp,['Musical Instruments'],3
330,drum,['Musical Instruments'],3
331,banjo,['Musical Instruments'],3
332,Car alarm,"['Station Wagon', 'Auto Parts', 'Auto Rentals', 'Green Vehicles', 'Luxury Cars']",3
333,Musical instrument,"['Musical Instruments', 'Musical Instruments']",3
334,sax,['Musical Instruments'],3
335,acoustic guitar,['Musical Instruments'],3
336,Violin,['Musical Instruments'],3
337,violin,['Musical Instruments'],3
