item,node_id,IAB_Candidates,H_Scores
web_site,371,"['Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Dating']","[0.73599898, 0.7756112609999999, 0.739853487, 0.759261401, 0.789649765, 0.7459666290000001, 0.760978223, 0.671098857]"
grampus,7937,['Large Animals'],[0.714841607]
swimming_cap,42345,"['Healthy Living', 'Medical Health', 'Education', 'Sports']","[1.0, 1.0, 1.0, 1.0]"
curly-coated_retriever,82446,"['Pets', 'Dogs']","[0.721520415, 0.813365275]"
desktop_computer,9570,"['Technology Industry', 'Smart Home', 'Consumer Electronics', 'Movies', 'Education', 'Shopping', 'Television', 'Pop Culture']","[0.740275882, 0.741750382, 0.838419861, 1.0, 1.0, 1.0, 1.0, 1.0]"
sealyham,32804,"['Pets', 'Dogs']","[0.7778794309999999, 0.8674643670000001]"
grand,2263,"['Musical Instruments', 'Music and Audio', 'Music and Audio']","[0.811993828, 0.714414042, 1.0]"
wardrobe,3170,"['Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Formal Wear""]","[0.726366246, 0.71877271, 0.723077517, 0.710872927]"
chain_armor,5123,"[""Men's Clothing"", ""Men's Formal Wear"", 'Events and Attractions', 'Television']","[0.732664642, 0.7297287579999999, 1.0, 1.0]"
space_heater,3410,"['Home Appliances', 'Consumer Electronics']","[0.7878104509999999, 0.803876245]"
loafer,11487,"[""Women's Shoes and Footwear"", ""Women's Clothing""]","[0.814953138, 0.7638923409999999]"
chime,14800,"['Musical Instruments', 'Music and Audio', 'Events and Attractions']","[0.747099533, 1.0, 1.0]"
electric_fan,6182,"['Consumer Electronics', 'Home & Garden']","[0.7865685929999999, 1.0]"
bow_tie,37364,"[""Men's Formal Wear"", 'Events and Attractions', 'Business and Finance']","[0.739764438, 1.0, 1.0]"
harp,255,"['Musical Instruments', 'Music and Audio']","[0.794053874, 1.0]"
mosque,327,['Religion & Spirituality'],[1.0]
aptenodytes_patagonica,42348,['Birds'],[0.7948212809999999]
peke,49190,['Dogs'],[0.7109972040000001]
cd_player,2787,"['Consumer Electronics', 'Music and Audio']","[0.784507253, 1.0]"
ocarina,16912,"['Musical Instruments', 'Food & Drink']","[0.7249116290000001, 1.0]"
burrito,1914,"['Food & Drink', 'Cooking', 'Dining Out']","[0.8049373790000001, 0.7543228359999999, 0.719057851]"
wrecker,18317,"['Commercial Trucks', 'Pickup Trucks', 'Road-Side Assistance']","[0.813929652, 0.8451799520000001, 0.755052646]"
quail,61,"['Birds', 'Large Animals']","[0.857522227, 0.7146199190000001]"
lawn_cart,83930,"['Home & Garden', 'Gardening', 'Landscaping']","[0.737058219, 0.75148269, 0.732089512]"
english_springer_spaniel,7831,['Dogs'],[0.76407377]
husky,9982,"['Pets', 'Dogs']","[0.761427451, 0.852484767]"
spaghetti_squash,24127,"['Cooking', 'Desserts and Baking']","[0.7409031779999999, 0.7858352740000001]"
padlock,23739,"['Technology Industry', 'Home & Garden']","[0.794201961, 1.0]"
cairn_terrier,5294,['Dogs'],[0.7720369690000001]
pyjama,3258,"[""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear""]","[0.718434212, 0.733496974, 0.72317541]"
eating_place,6068,"['Food Industry', 'Malls & Shopping Centers', 'Bars & Restaurants', 'Food & Drink', 'World Cuisines', 'Cooking', 'Desserts and Baking', 'Dining Out']","[0.785636667, 0.72141469, 0.870533467, 0.818637886, 0.717774528, 0.7602281559999999, 0.7502017329999999, 0.91375805]"
racing_car,8709,"['Automotive', 'Auto Body Styles', 'Auto Type', 'Auto Shows', 'Auto Rentals']","[0.7396785640000001, 0.759071855, 0.744780995, 0.8086413840000001, 0.7529551459999999]"
white_fox,37995,['Travel'],[1.0]
carbonara,6750,"['Food Industry', 'Cooking']","[0.7393548409999999, 0.775103526]"
steel_arch_bridge,52816,['Hobbies & Interests'],[1.0]
tank_suit,77412,"[""Women's Clothing""]",[0.764464013]
hen-of-the-woods,36252,"['Food & Drink', 'Healthy Living']","[1.0, 1.0]"
shetland,2203,['Dogs'],[0.7831943029999999]
black_swan,10383,['Birds'],[0.774529639]
monitor,2423,"['Technology & Computing', 'Laptops', 'Consumer Electronics', 'Cameras and Camcorders']","[0.737789192, 0.7486362190000001, 0.85198292, 0.73470964]"
sports,5793,"['Sports', 'Entertainment Industry', 'Outdoor Activities', 'Fitness and Exercise', 'Sports', 'Wellness']","[0.6834278290000001, 0.719503343, 0.7119667190000001, 0.731700204, 0.931252219, 0.64744595]"
newfoundland,2224,"['Pets', 'Dogs']","[0.739168039, 0.824601977]"
basenji,10415,"['Pets', 'Dogs']","[0.723355592, 0.824855618]"
haliaeetus_leucocephalus,8226,['Birds'],[0.7857245340000001]
african_gray,2731,['Birds'],[0.769697176]
grille,5882,"['Sedan', 'Coupe', 'Pickup Trucks', 'Auto Parts', 'Convertible']","[0.73074753, 0.7340676840000001, 0.714825478, 0.7145947229999999, 0.675856114]"
shoe_store,2633,"['Apparel Industry', 'Retail Industry', 'Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear"", 'Travel Accessories']","[0.7280852290000001, 0.729988561, 0.744976229, 0.727997663, 0.787045105, 0.739044665, 0.780687809, 0.7900483890000001, 0.78186337, 0.723656465]"
steel_drum,12648,"['Musical Instruments', 'Music and Audio']","[0.798681415, 1.0]"
toaster,12393,"['Home Appliances', 'Consumer Electronics']","[0.76511979, 0.8192967529999999]"
fiddle,186,['Musical Instruments'],[0.8336945570000001]
trombone,1283,['Musical Instruments'],[0.8351409240000001]
mouth_harp,68733,"['Musical Instruments', 'Music and Audio']","[0.794053874, 1.0]"
dogsled,1572,"['Dogs', 'Sports']","[0.797075236, 1.0]"
beam,1446,['Fitness and Exercise'],[0.7413849659999999]
white_shark,26623,['Large Animals'],[0.744134087]
sliding_door,10285,['Home & Garden'],[0.735829031]
trench_coat,18488,"[""Men's Clothing""]",[0.8107731840000001]
rose_hip,15839,"['Flower Shopping', 'Home & Garden']","[0.742494378, 1.0]"
bathtub,820,"['Home & Garden', 'Bath and Shower', 'Healthy Living', 'Medical Health']","[0.733386097, 0.952007824, 1.0, 1.0]"
egretta_albus,2127,['Birds'],[0.790165204]
scottish_deerhound,39551,"['Pets', 'Dogs']","[0.7409787409999999, 0.824139712]"
crinoline,6179,"[""Women's Clothing"", ""Women's Formal Wear""]","[0.728578185, 0.7133196270000001]"
dishwasher,5260,"['Home Appliances', 'Consumer Electronics', 'Food & Drink']","[0.776695323, 0.7198272370000001, 1.0]"
can_opener,1715,['Food & Drink'],[1.0]
lawn_mower,10830,['Landscaping'],[0.717353481]
cellular_telephone,8131,"['Telecommunications Industry', 'Consumer Electronics', 'Smartphones', 'Travel', 'Family and Relationships', 'Shopping', 'Television', 'Sports', 'Movies', 'Science', 'Video Gaming']","[0.71513848, 0.7396869620000001, 0.772696085, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
cauldron,1346,"['Cooking', 'Events and Attractions', 'Religion & Spirituality']","[0.781694887, 1.0, 1.0]"
shih-tzu,30385,"['Pets', 'Dogs']","[0.739421745, 0.8108595259999999]"
menu,1657,"['Dining Out', 'Technology & Computing']","[0.714086074, 1.0]"
pay-station,42768,"['Road-Side Assistance', 'Business and Finance']","[0.7909823570000001, 0.758554746]"
business,2151,"['Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Healthcare Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Apparel Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Education', 'Real Estate', 'Retail Property', 'Consumer Electronics', 'Hobbies & Interests', 'Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Healthcare Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Apparel Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Education', 'Primary Education', 'Smart Home', 'Home Improvement', 'Home Security', 'Real Estate', 'Retail Property', 'Technology & Computing', 'Consumer Electronics', 'Hobbies & Interests', 'Education', 'Travel']","[0.872321282, 0.822669806, 0.7912380459999999, 0.861005085, 0.7973897609999999, 0.817363662, 0.801290026, 0.815426943, 0.795165281, 0.764943501, 0.8216292959999999, 0.796288113, 0.792479121, 0.79052473, 0.791886196, 0.724525269, 0.73318791, 0.7543288909999999, 0.737168017, 0.6678926239999999, 0.872321282, 0.822669806, 0.7912380459999999, 0.861005085, 0.7973897609999999, 0.817363662, 0.801290026, 0.815426943, 0.795165281, 0.764943501, 0.8216292959999999, 0.796288113, 0.792479121, 0.79052473, 0.791886196, 0.724525269, 0.72063179, 0.71872605, 0.732110523, 0.714253535, 0.73318791, 0.7543288909999999, 0.710985647, 0.737168017, 0.6678926239999999, 1.0, 1.0]"
cab,279,"['Travel', 'Travel', 'Travel', 'Travel', 'Travel', 'Travel', 'Travel']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
bassoon,2828,"['Musical Instruments', 'Music and Audio']","[0.8162677740000001, 1.0]"
chetah,38381,"['Cats', 'Large Animals', 'Education']","[0.8198202490000001, 0.7793905040000001, 1.0]"
tobacco_shop,53716,"['Retail Industry', 'Retail Property']","[0.718103893, 0.722374673]"
tennis_ball,1575,['Sports'],[0.713981185]
transportation,3912,"['Luxury Cars', 'Road-Side Assistance', 'Auto Rentals', 'Logistics and Transportation Industry', 'Aviation Industry', 'Travel', 'Travel Accessories', 'Travel Locations', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'Polar Travel', 'South America Travel', 'Hotels and Motels', 'Rail Travel', 'Air Travel', 'Beach Travel', 'Cruises']","[0.7155804040000001, 0.7231260279999999, 0.724277334, 0.842193868, 0.723072339, 0.889681926, 0.825058084, 0.864016377, 0.8270263240000001, 0.8379164370000001, 0.785664701, 0.846764669, 0.815569799, 0.815104927, 0.812745747, 0.720589363, 0.8832072790000001, 0.8483552670000001, 0.83094395, 0.682774368]"
courgette,717,['Desserts and Baking'],[0.740220221]
hornbill,13060,['Birds'],[0.811370389]
convertible,6584,['Travel'],[1.0]
packsack,16281,"['Travel Accessories', 'Education']","[0.714945823, 1.0]"
arctic_fox,4850,['Travel'],[1.0]
bath,231,"['Home & Garden', 'Bath and Shower', 'Healthy Living', 'Medical Health']","[0.733386097, 0.952007824, 1.0, 1.0]"
greenhouse,489,"['Gardening', 'Landscaping']","[0.76103887, 0.74655118]"
beigel,8950,"['Bars & Restaurants', 'Cooking', 'Dining Out', 'Grocery Shopping']","[0.7123146440000001, 0.765197583, 0.7113746559999999, 0.728523681]"
ten-gallon_hat,45524,"[""Men's Clothing""]",[0.8004714629999999]
mailbox,1970,['Office Property'],[0.738089792]
yurt,2231,['Houses'],[0.7362739340000001]
medicine_chest,1674,['Medical Health'],[0.773211047]
espresso_maker,40995,"['Food Industry', 'Food & Drink', 'Cooking', 'Home Appliances']","[0.716563415, 0.725422722, 0.828775741, 0.7396091159999999]"
japanese_spaniel,58273,"['Pets', 'Dogs']","[0.737623987, 0.8289801109999999]"
mobile_home,4336,"['Logistics and Transportation Industry', 'Remodeling & Construction', 'Home Improvement', 'Real Estate', 'Houses']","[0.7202487609999999, 0.7582122020000001, 0.857331428, 0.77668683, 0.805088527]"
water_hen,21157,['Birds'],[0.798484877]
komodo_dragon,9830,['Reptiles'],[0.7850878370000001]
beer_glass,48974,"['Food Industry', 'Bars & Restaurants', 'Style & Fashion', 'Shopping', 'Home & Garden']","[0.8049292140000001, 0.733760118, 1.0, 1.0, 1.0]"
panda,8074,"['Large Animals', 'Large Animals', 'Events and Attractions']","[0.7422521540000001, 0.773266625, 1.0]"
radiator_grille,41682,"['Sedan', 'Coupe', 'Pickup Trucks', 'Auto Parts', 'Convertible']","[0.73074753, 0.7340676840000001, 0.714825478, 0.7145947229999999, 0.675856114]"
park_bench,20339,"['Outdoor Activities', 'Parks & Nature']","[0.729104662, 0.718926856]"
prairie_fowl,29092,['Large Animals'],[0.7308066240000001]
panther,3540,"['Cats', 'Cats', 'Travel']","[0.7174311290000001, 0.750924626, 1.0]"
umbrella,5589,['Travel Accessories'],[0.778473759]
maltese_dog,9783,"['Pets', 'Dogs']","[0.7484222340000001, 0.831199606]"
english_setter,2265,['Dogs'],[0.8010850190000001]
linnet,1386,['Birds'],[0.761299885]
bakery,5889,['Desserts and Baking'],[0.7370943679999999]
swimming_trunks,11141,"[""Women's Clothing"", ""Men's Clothing""]","[0.737690983, 0.755149155]"
weighing_machine,8068,"['Technology Industry', 'Technology & Computing', 'Consumer Electronics']","[0.743873882, 0.730682004, 0.797087735]"
malinois,3584,"['Pets', 'Dogs']","[0.713536232, 0.823896709]"
hoopskirt,40841,"[""Women's Clothing"", ""Women's Formal Wear""]","[0.728578185, 0.7133196270000001]"
english_foxhound,70526,['Dogs'],[0.792603678]
goldfinch,11340,['Birds'],[0.752816313]
barrow,1002,"['Home & Garden', 'Gardening', 'Landscaping']","[0.737058219, 0.75148269, 0.732089512]"
black_stork,32969,"['Birds', 'Travel']","[0.775971297, 1.0]"
american_staffordshire_terrier,20268,['Dogs'],[0.816347918]
cougar,2864,"['Cats', 'Travel']","[0.7174311290000001, 1.0]"
popsicle,4051,['Desserts and Baking'],[0.710930532]
boxer,1964,"['Pets', 'Dogs']","[0.719764645, 0.8268178009999999]"
dockage,22774,"['Outdoor Activities', 'Real Estate']","[0.785321, 1.0]"
hair_dryer,14196,['Hair Care'],[0.786192617]
acoustic_guitar,5143,['Music and Audio'],[0.762581425]
horse-cart,57277,"['Hobbies & Interests', 'Pets', 'Sports']","[1.0, 1.0, 1.0]"
mini,110,"[""Women's Clothing""]",[0.763431888]
backpack,314,"['Travel Accessories', 'Education']","[0.714945823, 1.0]"
trolley,1930,['Rail Travel'],[0.786351885]
eggnog,4398,"['Food Industry', 'Alcoholic Beverages', 'Cooking', 'Events and Attractions', 'Religion & Spirituality', 'Pop Culture']","[0.775166713, 0.78484752, 0.7753205470000001, 1.0, 1.0, 1.0]"
oxygen_mask,10787,"[""Women's Clothing"", ""Men's Clothing"", 'Medical Health']","[0.7567314070000001, 0.7613877179999999, 1.0]"
anemone_fish,23325,"['Zoos & Aquariums', 'Pets']","[0.640401407, 1.0]"
german_police_dog,54774,['Dogs'],[0.8342992440000001]
standard_poodle,3957,['Pets'],[0.758930674]
power_drill,8507,"['Technology Industry', 'Consumer Electronics']","[0.734804432, 0.796655937]"
organ,2407,"['Musical Instruments', 'Music and Audio']","[0.798592117, 1.0]"
scale,1139,"['Technology Industry', 'Technology & Computing', 'Consumer Electronics']","[0.743873882, 0.730682004, 0.797087735]"
red_setter,69411,['Dogs'],[0.75891554]
ciconia_nigra,3971,"['Birds', 'Travel']","[0.775971297, 1.0]"
polaroid_camera,106036,"['Consumer Electronics', 'Cameras and Camcorders']","[0.71935128, 0.831320452]"
great_white_heron,7943,['Birds'],[0.790165204]
king_penguin,5618,['Birds'],[0.7948212809999999]
lollipop,2440,['Desserts and Baking'],[0.710930532]
lakeland_terrier,41330,"['Pets', 'Dogs']","[0.745462032, 0.824554557]"
loudspeaker,4219,"['Music and Audio', 'Consumer Electronics']","[0.7500630690000001, 0.744803323]"
racket,5481,['Sports'],[0.796611693]
vacuum,1094,['Consumer Electronics'],[0.765951006]
hack,599,"['Travel', 'Travel', 'Travel', 'Travel', 'Travel', 'Travel', 'Travel']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
picture_palace,53398,"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Music and Audio', 'Television']","[0.8371503370000001, 0.7162231579999999, 0.8268268670000001, 0.875171853, 0.742720568, 0.7164709509999999]"
table_lamp,22895,['Home & Garden'],[0.718894417]
trifle,5381,"['Food Industry', 'Food & Drink', 'Cooking']","[0.778800646, 0.79648097, 0.7625474390000001]"
cliff,1983,"['Real Estate', 'Travel']","[1.0, 1.0]"
trolley_car,12565,['Rail Travel'],[0.786351885]
cowboy_hat,23082,"[""Men's Clothing""]",[0.8004714629999999]
window_shade,6786,['Home & Garden'],[0.74257985]
giant_panda,2527,"['Large Animals', 'Events and Attractions']","[0.7422521540000001, 1.0]"
hot_pot,8617,"['Cooking', 'Healthy Living', 'Shopping']","[0.8543741509999999, 1.0, 1.0]"
fringilla_montifringilla,47473,['Birds'],[0.8941372040000001]
acinonyx_jubatus,25795,"['Cats', 'Large Animals', 'Education']","[0.8198202490000001, 0.7793905040000001, 1.0]"
movie_house,11953,"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Music and Audio', 'Television']","[0.8371503370000001, 0.7162231579999999, 0.8268268670000001, 0.875171853, 0.742720568, 0.7164709509999999]"
two-piece,47626,"['Style & Fashion', ""Women's Clothing"", 'Shopping']","[0.768798012, 0.832437622, 1.0]"
confectionery,5855,"['Food Industry', 'Retail Industry', 'Desserts and Baking', 'Shopping', 'Events and Attractions']","[0.744507027, 0.737122307, 0.7668528370000001, 0.7126039390000001, 1.0]"
airedale,51385,['Dogs'],[0.7652939940000001]
polaroid_land_camera,18542,"['Consumer Electronics', 'Cameras and Camcorders']","[0.71935128, 0.831320452]"
oil_filter,4284,"['Technology Industry', 'Automotive Industry']","[0.787736928, 0.735242363]"
schipperke,30276,['Dogs'],[0.8111240409999999]
blower,6240,"['Consumer Electronics', 'Home & Garden']","[0.7865685929999999, 1.0]"
tram,1931,['Rail Travel'],[0.786351885]
black-and-tan_coonhound,85488,['Dogs'],[0.755759341]
food_market,17189,"['Business and Finance', 'Food Industry', 'Retail Industry', 'Food & Drink', 'Desserts and Baking', 'Retail Property', 'Shopping', 'Grocery Shopping', 'Household Supplies']","[0.7733311140000001, 0.863967368, 0.8380571059999999, 0.775782028, 0.72015559, 0.81518876, 0.825216354, 0.960761628, 0.772538293]"
lemon,6818,['Food & Drink'],[0.7398747859999999]
cat_bear,43412,['Large Animals'],[0.773266625]
pot,1203,['Gardening'],[0.7566378659999999]
suit,1026,"[""Men's Clothing"", 'Apparel Industry', 'Fashion Events', 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear"", ""Men's Formal Wear"", 'Prom']","[0.895601691, 0.768867772, 0.7295762, 0.768158473, 0.84946004, 0.848087533, 0.8910864340000001, 0.675522684]"
digital_clock,15539,"['Technology Industry', 'Smart Home', 'Music and Audio', 'Pop Culture']","[0.732602194, 0.713714533, 0.7771746820000001, 1.0]"
komondor,11976,['Dogs'],[0.800040885]
pay-phone,114095,"['Road-Side Assistance', 'Business and Finance']","[0.7909823570000001, 0.758554746]"
cell,137,"['Telecommunications Industry', 'Consumer Electronics', 'Smartphones', 'Travel', 'Family and Relationships', 'Shopping', 'Television', 'Sports', 'Movies', 'Science', 'Video Gaming']","[0.71513848, 0.7396869620000001, 0.772696085, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
consomme,21616,"['Food Industry', 'Food & Drink', 'Cooking']","[0.7173929179999999, 0.7461237690000001, 0.739546533]"
mountain_lion,3663,"['Cats', 'Travel']","[0.7174311290000001, 1.0]"
strix_nebulosa,12587,['Birds'],[0.778239089]
file,985,"['Business and Finance', 'Home & Garden']","[1.0, 1.0]"
anole,15843,['Reptiles'],[0.71168795]
pembroke_welsh_corgi,8022,['Dogs'],[0.71256651]
remote_control,4957,"['Smart Home', 'Home Security', 'Technology & Computing', 'Consumer Electronics']","[0.7253921409999999, 0.743409304, 0.71695378, 0.781990958]"
turnstile,3870,['Technology Industry'],[0.7865057109999999]
grand_piano,19469,"['Musical Instruments', 'Music and Audio', 'Music and Audio']","[0.811993828, 0.714414042, 1.0]"
shetland_sheep_dog,58177,['Dogs'],[0.7831943029999999]
common_iguana,9941,['Reptiles'],[0.7899185120000001]
psittacus_erithacus,16782,['Birds'],[0.769697176]
polyporus_frondosus,64409,"['Food & Drink', 'Healthy Living']","[1.0, 1.0]"
geyser,1848,['Travel'],[1.0]
chesapeake_bay_retriever,24995,"['Pets', 'Dogs']","[0.732301195, 0.8018586129999999]"
corn,682,"['Food Industry', 'Cooking', 'Land and Farms']","[0.8310947879999999, 0.781695525, 0.748849078]"
monkey_pinscher,75980,"['Pets', 'Dogs']","[0.7476108859999999, 0.839695656]"
american_coot,18796,['Birds'],[0.798484877]
guacamole,479,"['Food Industry', 'Food & Drink', 'Cooking', 'Events and Attractions']","[0.774129568, 0.799848006, 0.766800316, 1.0]"
scottie,19722,['Dogs'],[0.791511972]
rig,5362,"['Commercial Trucks', 'Logistics and Transportation Industry']","[0.920690529, 0.722615795]"
sock,693,"[""Women's Shoes and Footwear"", ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear""]","[0.798915035, 0.810218887, 0.80886948, 0.7790931870000001]"
flute,1847,"['Musical Instruments', 'Music and Audio']","[0.79435041, 1.0]"
racquet,3099,['Sports'],[0.796611693]
panthera_pardus,9792,['Cats'],[0.7449341420000001]
car_mirror,19083,"['Luxury Cars', 'Technology Industry', 'Automotive Industry']","[0.781560338, 0.7923579629999999, 0.773782917]"
afghan_hound,14310,['Dogs'],[0.7701064409999999]
science,26470,"['Books and Literature', 'Education industry', 'Technology Industry', 'Education', 'College Education', 'Primary Education', 'Science', 'Space and Astronomy', 'Technology & Computing']","[0.7582144890000001, 0.7668604040000001, 0.716295754, 0.784349905, 0.771390782, 0.7597792240000001, 0.931252199, 0.796655187, 0.722262917]"
weimaraner,13296,['Pets'],[0.7374762859999999]
news,40750,"['Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Events and Attractions', 'Fashion Events', 'Concerts & Music Events', 'Medical Health', 'Travel', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'South America Travel', 'Air Travel', 'Entertainment Industry', 'Media Industry']","[0.763236789, 0.769505184, 0.7817538940000001, 0.7777089620000001, 0.754302617, 0.7553776390000001, 0.799006526, 0.7421277709999999, 0.748950082, 0.7257573, 0.764483164, 0.7197493840000001, 0.74015012, 0.713727503, 0.71460465, 0.7178211170000001, 0.7371793440000001, 0.741996678, 0.724362882, 0.740942702, 0.724261044, 0.730262117, 0.724842957, 0.715215536, 0.743221993]"
lolly,3154,['Desserts and Baking'],[0.710930532]
coffee_mug,2140,"['Food Industry', 'Shopping', 'Style & Fashion']","[0.720389141, 1.0, 1.0]"
fire_truck,2257,"['Commercial Trucks', 'Road-Side Assistance', 'Medical Health']","[0.8067062859999999, 0.73494511, 1.0]"
drilling_platform,4821,"['Outdoor Activities', 'Real Estate']","[0.747652242, 1.0]"
pipe_organ,4162,"['Musical Instruments', 'Music and Audio']","[0.798592117, 1.0]"
green_snake,32747,['Birds'],[0.712268217]
wine_bottle,7199,"['Food Industry', 'Cooking', 'Dining Out']","[0.7892052559999999, 0.7505723009999999, 0.7624391309999999]"
cock,2810,"['Birds', 'Home & Garden', 'Healthy Living']","[0.769410438, 1.0, 1.0]"
high_bar,1532,"['Outdoor Activities', 'Fitness and Exercise', 'Sports']","[0.741961322, 0.757469829, 0.772725076]"
chain_armour,56860,"[""Men's Clothing"", ""Men's Formal Wear"", 'Events and Attractions', 'Television']","[0.732664642, 0.7297287579999999, 1.0, 1.0]"
academic_gown,5823,"['Graduation', ""Women's Clothing"", ""Women's Formal Wear"", ""Men's Clothing"", ""Men's Formal Wear"", 'Events and Attractions', 'Education']","[0.789665643, 0.811012512, 0.839056639, 0.8108119359999999, 0.8383037940000001, 1.0, 1.0]"
hautbois,30272,['Musical Instruments'],[0.8223355170000001]
dalmatian,9060,"['Pets', 'Dogs', 'Large Animals']","[0.77844368, 0.859156327, 0.7175421820000001]"
shoe-shop,99457,"['Apparel Industry', 'Retail Industry', 'Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear"", 'Travel Accessories']","[0.7280852290000001, 0.729988561, 0.744976229, 0.727997663, 0.787045105, 0.739044665, 0.780687809, 0.7900483890000001, 0.78186337, 0.723656465]"
mollymawk,10630,['Birds'],[0.844961345]
russian_wolfhound,22675,['Dogs'],[0.755162702]
sandal,5894,"[""Men's Clothing"", ""Women's Shoes and Footwear"", 'Style & Fashion', ""Women's Clothing""]","[0.7941688659999999, 0.892623543, 0.7369786979999999, 0.8004638890000001]"
