left,right,score
outside,Movies,0.825394868850708
bomb,Movies,0.825218677520752
tea,Zoos & Aquariums,0.8250637054443359
furniture,Houses,0.8245792984962463
coconut,Zoos & Aquariums,0.8245602250099182
thunderstorm,Events and Attractions,0.8244585990905762
waiting_in_line,Women's Shoes and Footwear,0.8244240283966064
furniture,Cats,0.8242617845535278
mug,Bars & Restaurants,0.8242536187171936
bowling,Musical Instruments,0.8242467641830444
pizza,Bars & Restaurants,0.8241578340530396
pizza,Bars & Restaurants,0.8241578340530396
pizza,Bars & Restaurants,0.8241578340530396
synthesizer,Auto Body Styles,0.8236868977546692
fiddle,Music and Audio,0.8235504031181335
fiddle,Music and Audio,0.8235504031181335
rubber,Musical Instruments,0.8233961462974548
mule,Bars & Restaurants,0.8230666518211365
ski,Polar Travel,0.8229228258132935
ski,Polar Travel,0.8229228258132935
ski,Polar Travel,0.8229228258132935
furniture,Games and Puzzles,0.8228350281715393
rubber,Convertible,0.8227396011352539
mule,Home & Garden,0.8226970434188843
furniture,Music and Audio,0.8226615786552429
underground,Movies,0.8226516246795654
umbrella,Beach Travel,0.8226224780082703
umbrella,Beach Travel,0.8226224780082703
umbrella,Beach Travel,0.8226224780082703
orchestra,Music and Audio,0.8224138021469116
convenience_store,Beauty,0.8218733668327332
playing_poker,Casinos & Gambling,0.8218536972999573
shed,Zoos & Aquariums,0.8217151761054993
jack,Zoos & Aquariums,0.821664571762085
juice,Home & Garden,0.8214365243911743
coo,Musical Instruments,0.821423351764679
tea,Birds,0.8211928606033325
tree_house,Auto Body Styles,0.8211408853530884
tree_house,Auto Body Styles,0.8211408853530884
banana,Land and Farms,0.8210902214050293
banana,Land and Farms,0.8210902214050293
banana,Land and Farms,0.8210902214050293
weasel,Zoos & Aquariums,0.8208171725273132
caterpillar,Zoos & Aquariums,0.8205652236938477
silence,Music and Audio,0.8205453157424927
juice,Bars & Restaurants,0.8203974962234497
boathouse,Reptiles,0.8203763365745544
boathouse,Reptiles,0.8203763365745544
furniture,Concerts & Music Events,0.8203463554382324
toy,Malls & Shopping Centers,0.8202818632125854
underground,Reptiles,0.8200850486755371
dike,Bars & Restaurants,0.8198428153991699
tea,Home & Garden,0.8198295831680298
restaurant,Hotel Properties,0.8196610808372498
restaurant,Hotel Properties,0.8196610808372498
orchestra,Musical Instruments,0.8196579217910767
indoor_gymnasium,Single Life,0.8196300268173218
hands,Movies,0.8196040391921997
coconut,Land and Farms,0.8195241093635559
box_turtle,Events and Attractions,0.8193561434745789
file,Land and Farms,0.81927889585495
attic,Home & Garden,0.8192417621612549
napkin,Bars & Restaurants,0.8191292881965637
tea,Movies,0.8187897801399231
coconut,Desserts and Baking,0.8187657594680786
crying,Flower Shopping,0.8185597658157349
crying,Flower Shopping,0.8185597658157349
stable,Movies,0.818440854549408
quill,Music and Audio,0.818359911441803
park,Home & Garden,0.8183541893959045
crane,Card Games,0.8183308839797974
rub,Casinos & Gambling,0.8183168768882751
berth,Reptiles,0.8181561231613159
container,Bars & Restaurants,0.8181001543998718
ram,Zoos & Aquariums,0.8179734349250793
strum,Minivan,0.8179190754890442
file,Houses,0.8178951740264893
furniture,Cooking,0.8178099989891052
mule,Card Games,0.8177784085273743
speaker,Zoos & Aquariums,0.8174865245819092
outside,Events and Attractions,0.8174741268157959
outside,Events and Attractions,0.8174741268157959
reception,Bars & Restaurants,0.8172352313995361
station_wagon,Station Wagon,0.8171692490577698
mule,Malls & Shopping Centers,0.8171518445014954
file,Movies,0.8169795274734497
mule,Houses,0.8169265389442444
inside,Zoos & Aquariums,0.8168867230415344
inside,Zoos & Aquariums,0.8168867230415344
inside,Zoos & Aquariums,0.8168867230415344
park,Dogs,0.8167968988418579
cinema,Cinemas and Events,0.8167611956596375
coo,Prom,0.8165752291679382
stool,Hotel Properties,0.8165510296821594
perfume,Perfume and Fragrance,0.8164724707603455
perfume,Perfume and Fragrance,0.8164724707603455
tea,Bath and Shower,0.8163709044456482
radish,Movies,0.8163505792617798
harpsichord,Music and Audio,0.8162317276000977
harpsichord,Music and Audio,0.8162317276000977
stable,Theater Venues and Events,0.8161236643791199
buzzer,Daycare and Pre-School,0.8160707354545593
wallet,Zoos & Aquariums,0.8160482048988342
tea,Casinos & Gambling,0.8157015442848206
banjo,Musical Instruments,0.8155709505081177
banjo,Musical Instruments,0.8155709505081177
banjo,Musical Instruments,0.8155709505081177
outside,Malls & Shopping Centers,0.8155422210693359
outside,Malls & Shopping Centers,0.8155422210693359
rock_climbing,Graduation,0.815403401851654
mailbox,Zoos & Aquariums,0.8153538703918457
supermarket,Malls & Shopping Centers,0.8152272701263428
furniture,Pets,0.8151253461837769
vegetable_garden,Home & Garden,0.8151179552078247
file,Women's Handbags and Wallets,0.8151071071624756
cart,Zoos & Aquariums,0.8150060176849365
ferret,Men's Formal Wear,0.8150010108947754
abacus,Houses,0.8149348497390747
porch,Musical Instruments,0.8148400783538818
porch,Musical Instruments,0.8148400783538818
stool,Home & Garden,0.8147820830345154
sofa,Home & Garden,0.8146998882293701
sofa,Home & Garden,0.8146998882293701
speaker,Malls & Shopping Centers,0.8146758675575256
outside,Prom,0.8145925402641296
outside,Prom,0.8145925402641296
answering_questions,Landscaping,0.8145330548286438
blues,Theater Venues and Events,0.814469039440155
porch,Home & Garden,0.8144689798355103
porch,Home & Garden,0.8144689798355103
container,Casinos & Gambling,0.8142938017845154
tool,Malls & Shopping Centers,0.8142892122268677
tea,Retail Industry,0.8141998052597046
fork,Bars & Restaurants,0.8141950964927673
fork,Bars & Restaurants,0.8141950964927673
bomb,Zoos & Aquariums,0.8141594529151917
oven,Bars & Restaurants,0.8141281604766846
oven,Bars & Restaurants,0.8141281604766846
bomb,Cooking,0.8141266107559204
pantry,Houses,0.8140760660171509
furniture,Board Games and Puzzles,0.8139265179634094
coconut,Shopping,0.8138077855110168
mule,Land and Farms,0.8136175870895386
penguin,Zoos & Aquariums,0.8134651184082031
snowboarding,Comedy Events,0.8134515881538391
speaker,Music and Audio,0.8134365081787109
coconut,Bars & Restaurants,0.8134092092514038
punk_rock,Music and Audio,0.8133987784385681
restaurant,Malls & Shopping Centers,0.8133745789527893
restaurant,Malls & Shopping Centers,0.8133745789527893
rubber,Land and Farms,0.813357949256897
bust,Polar Travel,0.8133422136306763
dairy,Coupe,0.8133386373519897
laughter,Coupe,0.8131864070892334
toy,Zoos & Aquariums,0.8131199479103088
weasel,Land and Farms,0.812894344329834
abacus,Zoos & Aquariums,0.8128791451454163
weasel,Home & Garden,0.8128737211227417
rub,Malls & Shopping Centers,0.8128083944320679
mezzanine,Theater Venues and Events,0.8127532005310059
coconut,Malls & Shopping Centers,0.8127496242523193
bullet,Casinos & Gambling,0.8126797080039978
tea,Fitness and Exercise,0.8126711845397949
furniture,Books and Literature,0.812624454498291
driving_car,Daycare and Pre-School,0.8125962615013123
pantry,Zoos & Aquariums,0.812515139579773
coil,Television,0.8124213218688965
tea,Hotel Properties,0.81239253282547
cock,Movies,0.8123828768730164
picnic_basket,Home & Garden,0.8123480081558228
sniff,Graduation,0.8123159408569336
sofa,Hotel Properties,0.8122177124023438
sofa,Hotel Properties,0.8122177124023438
picnic_basket,Musical Instruments,0.8121756911277771
wing,Birds,0.8120260238647461
outside,Bars & Restaurants,0.8119726777076721
outside,Bars & Restaurants,0.8119726777076721
comfort,Home & Garden,0.8119440078735352
flute,Music and Audio,0.8119380474090576
flute,Music and Audio,0.8119380474090576
flute,Music and Audio,0.8119380474090576
caterpillar,Women's Handbags and Wallets,0.8119276762008667
glasses,Home & Garden,0.8118917346000671
blues,Zoos & Aquariums,0.8118839263916016
crane,Home & Garden,0.8118510842323303
container,Home & Garden,0.8118155598640442
cupboard_open_or_close,Retail Property,0.8118005394935608
pole,Bars & Restaurants,0.8116762042045593
tire,Zoos & Aquariums,0.8116334676742554
bust,Children's Games and Toys,0.8116127848625183
container,Bath and Shower,0.8115438222885132
alley,Women's Shoes and Footwear,0.8114632964134216
flamingo,Reptiles,0.811435341835022
helix,Movies,0.8114168047904968
rifle,Zoos & Aquariums,0.8113455772399902
rifle,Zoos & Aquariums,0.8113455772399902
kite,Reptiles,0.8112991452217102
kite,Reptiles,0.8112991452217102
kite,Reptiles,0.8112991452217102
caterpillar,Birds,0.8111502528190613
juice,Malls & Shopping Centers,0.8109824657440186
sea_cucumber,Graduation,0.8109405636787415
highway,Malls & Shopping Centers,0.8109317421913147
park,Malls & Shopping Centers,0.8108907341957092
fireplace,Land and Farms,0.8108394145965576
worm,Birds,0.8107983469963074
rubber,Polar Travel,0.8107614517211914
inside,Movies,0.810742974281311
inside,Movies,0.810742974281311
inside,Movies,0.810742974281311
toy,Home & Garden,0.8107290267944336
stable,Home & Garden,0.8106694221496582
rubber,Children's Games and Toys,0.8106375932693481
tool,Home & Garden,0.8105615973472595
outside,Birds,0.8105477690696716
outside,Birds,0.8105477690696716
scrape,Casinos & Gambling,0.8105030655860901
cookie,Desserts and Baking,0.8104851841926575
drip,Zoos & Aquariums,0.8104631900787354
library,Women's Handbags and Wallets,0.8104079365730286
underground,Pets,0.8103578090667725
church_bell,Women's Shoes and Footwear,0.8102161884307861
tea,Oral care,0.8101004362106323
invertebrate,Beauty,0.8100744485855103
shed,Bath and Shower,0.8098766207695007
mailbox,Houses,0.8098496794700623
pour,Oral care,0.8097740411758423
grape,Malls & Shopping Centers,0.8097474575042725
synthesizer,Minivan,0.8096330165863037
bust,Women's Handbags and Wallets,0.8096145987510681
mule,Women's Handbags and Wallets,0.8095947504043579
thimble,Movies,0.8095900416374207
harp,Music and Audio,0.8095818758010864
harp,Music and Audio,0.8095818758010864
harp,Music and Audio,0.8095818758010864
harp,Music and Audio,0.8095818758010864
using_computer,Daycare and Pre-School,0.8095629811286926
file,Home & Garden,0.8095208406448364
closet,Home & Garden,0.8094895482063293
closet,Home & Garden,0.8094895482063293
closet,Home & Garden,0.8094895482063293
tool,Zoos & Aquariums,0.8094554543495178
church_bell,Coupe,0.8094444274902344
toy,Birds,0.8094044327735901
kite,Children's Games and Toys,0.8093859553337097
kite,Children's Games and Toys,0.8093859553337097
kite,Children's Games and Toys,0.8093859553337097
trousers,Movies,0.8093425631523132
outside,Cats,0.8093169927597046
outside,Cats,0.8093169927597046
candle,Zoos & Aquariums,0.8091279864311218
candle,Zoos & Aquariums,0.8091279864311218
hummingbird,Convertible,0.8091212511062622
hay,Events and Attractions,0.8091148138046265
file,Education industry,0.8090735077857971
screen,Oral care,0.8090664744377136
fly,Air Travel,0.8090571761131287
fly,Air Travel,0.8090571761131287
beer,Bars & Restaurants,0.8090535402297974
waffle_iron,Hobbies & Interests,0.8089355230331421
waffle_iron,Hobbies & Interests,0.8089355230331421
ram,Houses,0.8088064789772034
spider's_web,Hobbies & Interests,0.8087851405143738
mule,Children's Games and Toys,0.8087646961212158
desk,Education industry,0.8087480068206787
desk,Education industry,0.8087480068206787
beaver,Zoos & Aquariums,0.8087111711502075
building,Malls & Shopping Centers,0.8086887001991272
pour,Casinos & Gambling,0.8085987567901611
rub,Birds,0.8085697889328003
screen,Movies,0.8085671663284302
metro,Men's Formal Wear,0.8084688782691956
tea,Women's Jewelry and Watches,0.8083924651145935
outside,Card Games,0.8083449006080627
outside,Card Games,0.8083449006080627
crane,Events and Attractions,0.8082598447799683
gown,Convertible,0.8082543611526489
bedroom,Home & Garden,0.8082523941993713
outside,Zoos & Aquariums,0.8081758618354797
outside,Zoos & Aquariums,0.8081758618354797
furniture,Remodeling & Construction,0.8081434965133667
outside,Musical Instruments,0.8081358075141907
outside,Musical Instruments,0.8081358075141907
bathroom,Bath and Shower,0.808115541934967
tap,Casinos & Gambling,0.8080512881278992
tap,Casinos & Gambling,0.8080512881278992
refrigerator,Bars & Restaurants,0.8080480098724365
refrigerator,Bars & Restaurants,0.8080480098724365
refrigerator,Bars & Restaurants,0.8080480098724365
space_shuttle,Minivan,0.808016300201416
furniture,Shopping,0.8080074191093445
inside,Malls & Shopping Centers,0.8079501390457153
inside,Malls & Shopping Centers,0.8079501390457153
inside,Malls & Shopping Centers,0.8079501390457153
shield,Desserts and Baking,0.8079283237457275
cream,Desserts and Baking,0.8079140782356262
park,Zoos & Aquariums,0.807894766330719
pour,Movies,0.807877242565155
chisel,Reptiles,0.8078001141548157
pasture,Land and Farms,0.8077446222305298
bench,Home & Garden,0.8077108860015869
bench,Home & Garden,0.8077108860015869
stable,Malls & Shopping Centers,0.8076897263526917
crow,Zoos & Aquariums,0.8076424598693848
pancake,Minivan,0.807621419429779
hospital,Beauty,0.8073168992996216
furniture,Oral care,0.8073123097419739
pear,Bars & Restaurants,0.8072265386581421
smash,Zoos & Aquariums,0.8072066903114319
hen,Movies,0.8071935176849365
chewing,Men's Formal Wear,0.8071863651275635
bolete,Flower Shopping,0.8071795105934143
speaker,Casinos & Gambling,0.8071737885475159
container,Zoos & Aquariums,0.8070259094238281
curtain,Movies,0.8070238828659058
desk,Bars & Restaurants,0.807000994682312
desk,Bars & Restaurants,0.807000994682312
banana,Houses,0.806959867477417
banana,Houses,0.806959867477417
banana,Houses,0.806959867477417
smash,Home & Garden,0.8069581985473633
coconut,Travel,0.8069501519203186
squirrel,Birds,0.8068145513534546
beer,Casinos & Gambling,0.8066483736038208
hack,Events and Attractions,0.8066416382789612
bomb,Birds,0.8065731525421143
human_body,Birds,0.8065319061279297
screen,Malls & Shopping Centers,0.806446373462677
coconut,Business and Finance,0.806435763835907
barn,Events and Attractions,0.8064357042312622
barn,Events and Attractions,0.8064357042312622
window,Zoos & Aquariums,0.806422233581543
container,Malls & Shopping Centers,0.80641108751297
pant,Dogs,0.8064056038856506
drum_and_bass,Movies,0.8063568472862244
rub,Bars & Restaurants,0.8063464760780334
drum,Music and Audio,0.8063145279884338
drum,Music and Audio,0.8063145279884338
drum,Music and Audio,0.8063145279884338
tap,Zoos & Aquariums,0.8061330318450928
tap,Zoos & Aquariums,0.8061330318450928
park,Birds,0.8061268925666809
combination_lock,Women's Shoes and Footwear,0.8060652613639832
soul_music,Beauty,0.8060405254364014
snack,Zoos & Aquariums,0.8059914708137512
crib,Beauty,0.8059426546096802
laughter,Movies,0.8059358596801758
mailbox,Malls & Shopping Centers,0.8058598637580872
furniture,Events and Attractions,0.8058170676231384
pour,Bath and Shower,0.8058167099952698
tea,Cooking,0.8057776093482971
toy,Land and Farms,0.8057433366775513
furniture,Women's Jewelry and Watches,0.8055657148361206
yard,Bars & Restaurants,0.8054364919662476
outside,Sedan,0.8053634166717529
outside,Sedan,0.8053634166717529
outside,Oral care,0.8053346276283264
outside,Oral care,0.8053346276283264
jack,Home & Garden,0.8053103685379028
jack,Land and Farms,0.8053019046783447
worm,Polar Travel,0.80524742603302
file,Casinos & Gambling,0.8051953315734863
silverware,Bars & Restaurants,0.805155336856842
cannon,Zoos & Aquariums,0.8051425814628601
cannon,Zoos & Aquariums,0.8051425814628601
skateboard,Zoos & Aquariums,0.8050775527954102
skateboard,Zoos & Aquariums,0.8050775527954102
skateboard,Zoos & Aquariums,0.8050775527954102
crying,Women's Shoes and Footwear,0.8050318360328674
crying,Women's Shoes and Footwear,0.8050318360328674
beaver,Home & Garden,0.8050307035446167
smash,Bars & Restaurants,0.8048908114433289
furniture,Television,0.8048794269561768
nursery,Women's Formal Wear,0.8048494458198547
nursery,Women's Formal Wear,0.8048494458198547
fireplace,Zoos & Aquariums,0.8047671318054199
bust,Houses,0.8047282695770264
stool,Zoos & Aquariums,0.8047232627868652
crane,Musical Instruments,0.804714024066925
porch,Hotel Properties,0.8046238422393799
porch,Hotel Properties,0.8046238422393799
kite,Land and Farms,0.8045660257339478
kite,Land and Farms,0.8045660257339478
kite,Land and Farms,0.8045660257339478
toy,Women's Handbags and Wallets,0.8045075535774231
stable,Pets,0.8044784665107727
icebox,Zoos & Aquariums,0.8043485879898071
refrigerator,Home & Garden,0.8042823672294617
refrigerator,Home & Garden,0.8042823672294617
refrigerator,Home & Garden,0.8042823672294617
crow,Music and Audio,0.8042324185371399
inside,Women's Handbags and Wallets,0.8042292594909668
inside,Women's Handbags and Wallets,0.8042292594909668
inside,Women's Handbags and Wallets,0.8042292594909668
speaker,Concerts & Music Events,0.8040980696678162
butterfly,Women's Handbags and Wallets,0.8040797710418701
belt,Movies,0.804057240486145
pasture,Home & Garden,0.8040257096290588
desk,Books and Literature,0.8039730787277222
desk,Books and Literature,0.8039730787277222
dishes,Reptiles,0.803874135017395
tool,Travel,0.8038572072982788
lizard,Beach Travel,0.8038266897201538
container,Hotel Properties,0.8038152456283569
silence,Bath and Shower,0.8037754893302917
stable,Women's Handbags and Wallets,0.803720235824585
desk,Home & Garden,0.8036968111991882
desk,Home & Garden,0.8036968111991882
stool,Birds,0.8036420941352844
rubber,Cats,0.8035005927085876
bomb,Retail Industry,0.8034985065460205
silence,Casinos & Gambling,0.8034036755561829
grape,Home & Garden,0.8033809065818787
mail,Women's Handbags and Wallets,0.8032370805740356
desk,Hotel Properties,0.8031853437423706
desk,Hotel Properties,0.8031853437423706
puff,Zoos & Aquariums,0.8031632304191589
bomb,Bars & Restaurants,0.8030861616134644
bolete,Women's Shoes and Footwear,0.8030855059623718
basketball,Home & Garden,0.8030416965484619
dishes,Pets,0.8030104637145996
inside,Home & Garden,0.8030050992965698
inside,Home & Garden,0.8030050992965698
inside,Home & Garden,0.8030050992965698
mule,Cats,0.8029935359954834
closet,Hotel Properties,0.8029830455780029
closet,Hotel Properties,0.8029830455780029
closet,Hotel Properties,0.8029830455780029
jeans,Events and Attractions,0.8029708862304688
mailbox,Pets,0.8028396964073181
file,Malls & Shopping Centers,0.8027973771095276
pour,Fitness and Exercise,0.8026571273803711
tool,Movies,0.8026517033576965
outside,Hotel Properties,0.8025287389755249
outside,Hotel Properties,0.8025287389755249
ferret,Van,0.8025096654891968
van,Van,0.8025084733963013
dam,Malls & Shopping Centers,0.8024992942810059
dam,Malls & Shopping Centers,0.8024992942810059
porcupine,Wellness,0.8024704456329346
porcupine,Wellness,0.8024704456329346
barrel,Malls & Shopping Centers,0.802403450012207
barrel,Malls & Shopping Centers,0.802403450012207
pour,Hotel Properties,0.8023715615272522
furniture,Sedan,0.8023537993431091
mail,Zoos & Aquariums,0.8023461699485779
stool,Cats,0.8023311495780945
knot,Zoos & Aquariums,0.8021855354309082
crane,Birds,0.8021729588508606
container,Movies,0.8021607398986816
hack,Zoos & Aquariums,0.8021538257598877
juice,Oral care,0.8021074533462524
vibration,Women's Shoes and Footwear,0.8020590543746948
crying,Coupe,0.8020433187484741
crying,Coupe,0.8020433187484741
drawer,Home & Garden,0.8019843697547913
cup,Bars & Restaurants,0.8019652366638184
stool,Casinos & Gambling,0.80194491147995
seahorse,Coupe,0.8019282817840576
gown,Reptiles,0.8018866777420044
smash,Land and Farms,0.8018823266029358
dam,Birds,0.8018538951873779
dam,Birds,0.8018538951873779
kitchen,Bars & Restaurants,0.8018263578414917
picnic_basket,Birds,0.8018236756324768
harpsichord,Musical Instruments,0.8018147945404053
harpsichord,Musical Instruments,0.8018147945404053
sailing,Malls & Shopping Centers,0.801785945892334
speaker,Houses,0.8017572164535522
dice,Houses,0.8017521500587463
speaker,Cooking,0.8017020225524902
mail,Shopping,0.8016660213470459
outside,Reptiles,0.8015888929367065
outside,Reptiles,0.8015888929367065
auditorium,Theater Venues and Events,0.801548957824707
caterpillar,Malls & Shopping Centers,0.8015270829200745
juice,Hotel Properties,0.8014777898788452
caterpillar,Casinos & Gambling,0.8013806939125061
sneeze,Fitness and Exercise,0.8013741374015808
screen,Retail Industry,0.8013646006584167
hack,Movies,0.8013373613357544
banana,Birds,0.8013113141059875
banana,Birds,0.8013113141059875
banana,Birds,0.8013113141059875
tool,Bars & Restaurants,0.8013110160827637
bullet,Birds,0.8012999892234802
bottle,Casinos & Gambling,0.8012831807136536
bottle,Casinos & Gambling,0.8012831807136536
outside,Pets,0.801266610622406
outside,Pets,0.801266610622406
table,Bars & Restaurants,0.8012620210647583
hack,Travel,0.8012450933456421
ding,Houses,0.8012120127677917
tap,Bars & Restaurants,0.8011766672134399
tap,Bars & Restaurants,0.8011766672134399
bomb,Children's Games and Toys,0.8011722564697266
bomb,Malls & Shopping Centers,0.8011599183082581
vehicle,Travel,0.8011493682861328
vehicle,Travel,0.8011493682861328
stream,Zoos & Aquariums,0.800993800163269
belt,Books and Literature,0.8009231090545654
file,Games and Puzzles,0.8008853197097778
singing,Birds,0.8008540868759155
singing,Birds,0.8008540868759155
mosquito,Oral care,0.800805926322937
speaker,Women's Handbags and Wallets,0.8007605075836182
hack,Home & Garden,0.8007410168647766
stool,Dogs,0.8006919622421265
tea,Medical Health,0.8006844520568848
fork,Home & Garden,0.8006556630134583
fork,Home & Garden,0.8006556630134583
refrigerator,Malls & Shopping Centers,0.8005205988883972
refrigerator,Malls & Shopping Centers,0.8005205988883972
refrigerator,Malls & Shopping Centers,0.8005205988883972
barn,Movies,0.8005115389823914
barn,Movies,0.8005115389823914
sunglasses,Beauty,0.8004526495933533
sunglasses,Beauty,0.8004526495933533
greenhouse,Zoos & Aquariums,0.8004344701766968
fountain,Bath and Shower,0.8004172444343567
fountain,Bath and Shower,0.8004172444343567
fountain,Bath and Shower,0.8004172444343567
rubber,Oral care,0.800390899181366
screen,Casinos & Gambling,0.8003736734390259
banana,Zoos & Aquariums,0.8003695607185364
banana,Zoos & Aquariums,0.8003695607185364
banana,Zoos & Aquariums,0.8003695607185364
tea,Land and Farms,0.8003057241439819
bedroom,Hotel Properties,0.8002168536186218
camel,Desserts and Baking,0.800216555595398
bob,Minivan,0.8002064824104309
cock,Casinos & Gambling,0.8001949191093445
doughnut,Malls & Shopping Centers,0.8001899719238281
hook,Zoos & Aquariums,0.8001410961151123
caterpillar,Music and Audio,0.8000620007514954
furniture,Beach Travel,0.8000006079673767
mule,Makeup and Accessories,0.7999935746192932
kite,Makeup and Accessories,0.7999935746192932
