,item,predictions,cosine_predicted
53,accordion,Card Games,0.8059590480897065
54,accordion,Concerts & Music Events,0.7977008002667684
55,accordion,Hobbies & Interests,0.7743830178699642
56,accordion,Automotive,0.7735346729722294
57,accordion,Auto Body Styles,0.7655131351233088
58,acorn,Birds,0.8243178190795656
59,acorn,Pets,0.7719635240380571
60,acrylic paint,Fine Art,0.804118613614075
61,acrylic paint,Nail Care,0.8006084440351744
62,act,Sports,0.8399035451518899
63,act,Movies,0.8370556215186091
64,act,Prom,0.8352909954550714
65,act,Science,0.8317967212002444
66,act,Education,0.8288821060985432
67,act,Travel,0.8282391688960737
68,act,Shopping,0.8278811554542891
69,act,Dating,0.8182576645285566
70,act,Pop Culture,0.7987542004547995
71,act,Events and Attractions,0.782045854515929
72,action,Sports,0.8410287287041962
73,action,Movies,0.8402969219598273
74,action,Shopping,0.8358750297069312
75,action,Travel,0.8315330369128371
76,action,Science,0.8283157814851222
77,action,Education,0.827496987403341
78,action,Prom,0.8183542087970519
79,action film,Movies,0.8568174085022812
80,action film,Video Gaming,0.8046563802582491
81,action film,Pop Culture,0.8024604092116192
82,action film,Entertainment Industry,0.8006704580866729
83,action film,Cinemas and Events,0.7985005455212628
84,action film,Business and Finance,0.7654873108174094
85,activity,Sports,0.8566656328883981
86,activity,Outdoor Activities,0.8535956658856465
87,activity,Travel,0.8463482405724484
88,activity,Shopping,0.8429134290438403
89,activity,Education,0.8395921157848264
90,activity,Science,0.8352589840751676
91,activity,Dating,0.8295324274341298
92,activity,Movies,0.8282165728696615
93,activity,Fitness and Exercise,0.8261890207466394
94,activity,Prom,0.8237994094550231
95,activity,Hobbies & Interests,0.8072754384790294
96,activity,Healthy Living,0.8057044779675993
97,activity,Events and Attractions,0.7945201169273457
98,actor,Movies,0.8776001811718768
99,actor,Sports,0.8321060418468569
100,actor,Beauty,0.8272991024509155
101,actor,Education,0.8258348008409775
102,actor,Travel,0.8226862596364006
103,actor,Dating,0.8200677238052818
104,actor,Convertible,0.819497812865803
105,actor,Entertainment Industry,0.8073980476996563
106,actor,Pop Culture,0.7993686809783875
107,actor,Style & Fashion,0.7876074946916947
108,adaptation,Parenting,0.8134084490653736
109,adaptation,Family and Relationships,0.768961877496708
110,add,Dating,0.80392616692807
111,adhesive tape,Auto Repair,0.787764555579228
112,adhesive tape,Automotive,0.7815636295813313
113,adjust,Convertible,0.8176280132751621
114,adjust,Automotive,0.767338668327018
115,adjust,Auto Body Styles,0.7676351998630627
116,adult,Dating,0.8432607656810187
117,adult,Education,0.8338433197656097
118,adult,Beauty,0.8263894437031414
119,adult,Sports,0.8235316002273043
120,adult,Travel,0.8218890252583642
121,adult,Birthday,0.8074409987225465
122,adult,Single Life,0.797715617282032
123,adult,Family and Relationships,0.7964176633099159
124,adult,Style & Fashion,0.7740719609240914
125,adventure,Travel,0.8488505212188526
126,adventure,Outdoor Activities,0.8467186458889624
127,adventure,Camping,0.8396785180656541
128,adventure,Cruises,0.8286697568937612
129,adventure,Science,0.827121424286024
130,adventure,Sports,0.8268849186002167
131,adventure,Travel Locations,0.8233177289028252
132,adventure,Travel Accessories,0.823305365238886
133,adventure,Africa Travel,0.8220069787948221
134,adventure,Beach Travel,0.8215905962325202
135,adventure,Games and Puzzles,0.8199661331256147
136,adventure,Shopping,0.8196159993562507
137,adventure,Air Travel,0.8182722170938329
138,adventure,Polar Travel,0.817587434353875
139,adventure,Asia Travel,0.8165739894730695
140,advertisement,Prom,0.8634748541895343
141,advertisement,Shopping,0.8425936280373575
142,advertisement,Travel,0.8405037959952899
143,advertisement,Education,0.8326482873777545
144,advertisement,Sports,0.8308154921835242
145,advertisement,Dating,0.8287383684008075
146,advertisement,Movies,0.8235802283578209
147,advertisement,Beauty,0.8220874463044797
148,advertisement,Convertible,0.8200013691526292
149,advertisement,Science,0.819002997818936
150,advertisement,Commercial Trucks,0.8076700135885718
151,advertisement,Media Industry,0.8054725595918409
152,advertisement,Auto Shows,0.8050493044314059
153,advertisement,Home Entertaining,0.8023303213111196
154,advertisement,Real Estate,0.802187432404736
155,antenna,Television,0.8433118693096346
156,antenna,Consumer Electronics,0.8093026560915965
157,antenna,Home Appliances,0.8032607227814936
158,antenna,Technology & Computing,0.7671201403136538
159,antenna,Home & Garden,0.7754604314798345
160,aerobics,Fitness and Exercise,0.8500998049737097
161,aerobics,Sports,0.8230223665109885
162,aerobics,Outdoor Activities,0.8221388173762553
163,aerobics,Healthy Living,0.8084690815307713
164,aerobics,Air Travel,0.7996452265394867
165,aerobics,Travel,0.7815987703149746
166,spray can,Deodorant and Antiperspirant,0.8038629795708851
167,spray can,Auto Repair,0.8037472444366366
168,spray can,Perfume and Fragrance,0.8022756405982618
169,spray can,Commercial Trucks,0.8007748281499698
170,spray can,Auto Parts,0.7993292282630194
171,spray can,Household Supplies,0.797959033211731
172,spray can,Automotive,0.8056978517948497
173,spray can,Beauty,0.7851723804902437
174,spray can,Auto Body Styles,0.7894225700291191
175,afro,Africa Travel,0.8259163282867077
176,afro,Hair Care,0.8067257304675217
177,afro,Travel,0.7924708751087254
178,afro,Travel Locations,0.7668656621209345
179,afro,Style & Fashion,0.7852771141210807
180,afro,Beauty,0.8089052703928157
181,agriculture,Gardening,0.8696242793543811
182,agriculture,Land and Farms,0.8457281502486289
183,agriculture,Landscaping,0.8436386144302886
184,agriculture,Food Industry,0.8376947036174804
185,agriculture,Automotive,0.8358342188683503
186,agriculture,Science,0.8354820549888055
187,agriculture,Sports,0.8335256487733942
188,agriculture,Cooking,0.8328272324739875
189,agriculture,Shopping,0.828866933015749
190,agriculture,Automotive Industry,0.8284702850353199
191,agriculture,Education,0.82753742153777
192,agriculture,Technology Industry,0.8271737275157164
193,agriculture,Religion & Spirituality,0.8226738897439686
194,agriculture,Real Estate,0.8197192022161448
195,agriculture,Education industry,0.8193734327531349
196,aid,Education,0.8357827104302742
197,aid,Prom,0.8350667332710423
198,aid,Travel,0.8268652309040458
199,aid,Road-Side Assistance,0.8255156542429385
200,aid,Dating,0.8221060798751025
201,aid,Shopping,0.8213607262390265
202,aid,Beauty,0.8207643620842886
203,aid,Auto Type,0.7996359866745286
204,aid,Makeup and Accessories,0.7992638339552511
205,aid,Events and Attractions,0.7878391347324609
206,aid,Automotive,0.7993787045939817
207,aid,Family and Relationships,0.7753156997074073
208,air conditioner,Home Appliances,0.8518011710309463
209,air conditioner,Auto Repair,0.8096562611358713
210,air conditioner,Deodorant and Antiperspirant,0.8064594531216078
211,air conditioner,Air Travel,0.8057407113768055
212,air conditioner,Consumer Electronics,0.8021914008593891
213,air conditioner,Auto Parts,0.8004419130002569
214,air conditioner,Home Improvement,0.7977425780777382
215,air conditioner,Home & Garden,0.7891014209144691
216,air conditioner,Automotive,0.80674850157277
217,air conditioner,Travel,0.7748514504610862
218,air conditioner,Technology & Computing,0.7774754251799914
219,air conditioning,Home Appliances,0.848598155717537
220,air conditioning,Air Travel,0.8228431978750855
221,air conditioning,Automotive,0.821815603385748
222,air conditioning,Cooking,0.818415711558095
223,air conditioning,Auto Repair,0.8148484212082993
224,air conditioning,Home Improvement,0.8080556567898782
225,air conditioning,Technology & Computing,0.8027028696685871
226,air conditioning,Auto Rentals,0.8024664862681582
227,air conditioning,Auto Parts,0.8019561304185004
228,air conditioning,Home Security,0.7990593219095092
229,air conditioning,Green Vehicles,0.798479784311915
230,air conditioning,Deodorant and Antiperspirant,0.7979041529698003
231,air conditioning,Home & Garden,0.7925642019380663
232,air conditioning,Travel,0.7837700121585516
233,air conditioning,Food & Drink,0.7655946365205538
234,air sock,Air Travel,0.8099077768625438
235,air sock,Travel,0.7652583396220703
236,aircraft cabin,Air Travel,0.862960372646661
237,aircraft cabin,Aviation Industry,0.8490054237379129
238,aircraft cabin,Coupe,0.8194701797575106
239,aircraft cabin,Automotive,0.8182310698200637
240,aircraft cabin,Commercial Trucks,0.8153825873077969
241,aircraft cabin,Travel Accessories,0.8147294452878895
242,aircraft cabin,Auto Rentals,0.8065857914630787
243,aircraft cabin,Luxury Cars,0.8027389820517273
244,aircraft cabin,Travel,0.7931322648747312
245,aircraft cabin,Auto Body Styles,0.7917118330579823
246,aircraft model,Air Travel,0.8467881049241336
247,aircraft model,Aviation Industry,0.8426793077031989
248,aircraft model,Auto Body Styles,0.8090838591496506
249,aircraft model,Motorcycles,0.8003245890920778
250,aircraft model,Commercial Trucks,0.799761877558941
251,aircraft model,Travel,0.769318781609881
252,aircraft model,Automotive,0.8068969306874698
253,air field,Air Travel,0.8310915083924801
254,air field,Aviation Industry,0.8161396917595172
255,air field,Land and Farms,0.808273432609393
256,air field,Travel,0.7685010417920736
257,air field,Real Estate,0.7701192668532959
258,air line,Air Travel,0.8809097794548307
259,air line,Rail Travel,0.8409778326925144
260,air line,Aviation Industry,0.8339056062328157
261,air line,Asia Travel,0.8051743287287092
262,air line,Travel,0.7982144919044075
263,air line,Travel Locations,0.7770202395425024
264,airliner,Air Travel,0.875804803746741
265,airliner,Aviation Industry,0.8458602486655267
266,airliner,Rail Travel,0.8361450623466574
267,airliner,Minivan,0.8207031859406956
268,airliner,Asia Travel,0.8148389676245419
269,airliner,Polar Travel,0.8023514028560724
270,airliner,Commercial Trucks,0.8016441478478763
271,airliner,Motorcycles,0.7985943068754189
272,airliner,Travel Accessories,0.7977281467056185
273,airliner,Travel,0.8123633881740792
274,airliner,Automotive,0.8071442753897127
275,airliner,Travel Locations,0.789665892272047
276,airman,Air Travel,0.8269700547208543
277,airman,Travel,0.7833997683980528
278,plane,Air Travel,0.8570771455269143
279,plane,Travel,0.8555099801484933
280,plane,Prom,0.8374644872619654
281,plane,Rail Travel,0.833486212422704
282,plane,Convertible,0.8306921496340902
283,plane,Shopping,0.8295644697941111
284,plane,Beauty,0.8291041591087107
285,plane,Sports,0.8279647400413089
286,plane,Science,0.8256017860801999
287,plane,Movies,0.825590846345655
288,plane,Birds,0.8225228029812173
289,plane,Minivan,0.8221210059647219
290,plane,Education,0.8215599840325419
291,plane,Cruises,0.8210843945946497
292,plane,Coupe,0.8179005243698796
293,airplane window,Air Travel,0.8601002665255617
294,airplane window,Aviation Industry,0.8235362759879783
295,airplane window,Travel Accessories,0.8104414409298427
296,airplane window,Asia Travel,0.8043030970895123
297,airplane window,Commercial Trucks,0.8023563297493608
298,airplane window,Travel,0.7996307784002381
299,airplane window,Travel Locations,0.7887147098893855
300,airplane window,Automotive,0.7988102572282942
301,airplane window,Auto Body Styles,0.7864227664134191
302,airport,Travel,0.8358512195290722
303,airport,Air Travel,0.8354491378662792
304,airport,Rail Travel,0.8182488574490194
305,airport,Aviation Industry,0.8062513692162171
306,airport runway,Air Travel,0.8564496764051112
307,airport runway,Rail Travel,0.8333324195192304
308,airport runway,Aviation Industry,0.828652266353122
309,airport runway,Auto Rentals,0.8109468505865567
310,airport runway,Asia Travel,0.8056479499583682
311,airport runway,Travel Locations,0.804833554508585
312,airport runway,Travel Accessories,0.7989435413136701
313,airport runway,Road-Side Assistance,0.7982252003902904
314,airport runway,Beach Travel,0.7975270772941645
315,airport runway,Travel,0.7987613315273199
316,airport runway,Automotive,0.7800266817664457
317,airport terminal,Air Travel,0.8534148979993128
318,airport terminal,Rail Travel,0.8474617881748756
319,airport terminal,Travel Accessories,0.8151264304859828
320,airport terminal,Travel Locations,0.8143146018988143
321,airport terminal,Aviation Industry,0.8140757593979923
322,airport terminal,Auto Rentals,0.8129385034828355
323,airport terminal,Asia Travel,0.8111556776720539
324,airport terminal,Polar Travel,0.8095287684543954
325,airport terminal,Beach Travel,0.803248944412505
326,airport terminal,Events and Attractions,0.7982561771823254
327,airport terminal,Road-Side Assistance,0.7982059422647882
328,airport terminal,Travel,0.8111486402321119
329,airship,Air Travel,0.8394258188924815
330,airship,Travel,0.7855507482217509
331,airshow,Air Travel,0.849967292153575
332,airshow,Auto Shows,0.8451243098247951
333,airshow,Aviation Industry,0.8184670193415012
334,airshow,Awards Shows,0.8172859088083833
335,airshow,Comedy Events,0.8095980407399392
336,airshow,Fashion Events,0.8095286300555474
337,airshow,Events and Attractions,0.8007818086968705
338,airshow,Concerts & Music Events,0.8004823923572048
339,airshow,Museums & Galleries,0.7994409710557705
340,airshow,Space and Astronomy,0.7981225924633674
341,airshow,Travel,0.788139992050813
342,airshow,Automotive,0.7855539609452855
343,aisle,Grocery Shopping,0.7988352293755643
344,aisle,Shopping,0.8165070667067995
345,alarm,Prom,0.8286871955635665
346,alarm,Beauty,0.8276956287038351
347,alarm,Travel,0.8235955042293917
348,alarm,Education,0.8182837778031515
349,alarm,Home Security,0.8121349607955635
350,alarm,Style & Fashion,0.7785781475802489
351,alarm,Home & Garden,0.7864362373458441
352,alarm clock,Home Security,0.8077452939240545
353,alarm clock,Home & Garden,0.7756547491872661
354,mollymawk,Birds,0.8143003644358717
355,mollymawk,Pets,0.7783129450709007
356,album,Movies,0.8697673576109072
357,album,Beauty,0.8323337410163074
358,album,Prom,0.8299329868190686
359,album,Dating,0.8293981989603343
360,album,Music and Audio,0.8280740003352214
361,album,Shopping,0.8275980492747399
362,album,Travel,0.8227964565353352
363,album,Education,0.8215690893999725
364,album,Sports,0.8206329113750767
365,album,Birthday,0.8145835665512462
366,album,Concerts & Music Events,0.8133895518531684
367,album,Musical Instruments,0.8099063961687779
368,album,Books and Literature,0.8072388010071543
369,album,Museums & Galleries,0.805673805914131
370,album,Fine Art,0.8036422466122195
371,album cover,Music and Audio,0.813362922104641
372,album cover,Pop Culture,0.8066272114475923
373,album cover,Fine Art,0.8048516266798902
374,album cover,Concerts & Music Events,0.8006555933046238
375,alcohol,Alcoholic Beverages,0.87030432991489
376,alcohol,Non-Alcoholic Beverages,0.8414231903026261
377,alcohol,Food & Drink,0.8269726346019889
378,alcohol,Casinos & Gambling,0.7995647250103339
379,alcove,Coupe,0.8199773567895856
380,algae,Green Vehicles,0.8006614607681494
381,algae,Automotive,0.7737450152410876
382,alley,Beauty,0.8237510613371111
383,alley,Travel,0.8201725922756068
384,alley,Convertible,0.8175628007741846
385,alley,Style & Fashion,0.7737735736297007
386,alley,Automotive,0.7874329205701225
387,alley,Auto Body Styles,0.7732470649610805
388,almond,Birds,0.7948335790401069
389,aloe vera,Shaving,0.7992552208075392
390,alp,SUV,0.7907594331480662
391,alp,Automotive,0.7781771526269589
392,alpaca,Large Animals,0.8223126595170824
393,alpaca,Pets,0.7948511777864581
394,alphabet,Education,0.8317467460097581
395,alphabet,Beauty,0.8241822914839353
396,alphabet,Science,0.8211253336116532
397,alphabet,Movies,0.8198513459907948
398,alphabet,Convertible,0.8195248067230657
399,alphabet,Travel,0.8191905353510356
400,alphabet,Books and Literature,0.8027197664422807
401,alphabet,Style & Fashion,0.7800543316964275
402,alphabet,Automotive,0.7696957449682784
403,alphabet,Auto Body Styles,0.7684181138161615
404,german shepherd,Dogs,0.8370200947444689
405,german shepherd,Pets,0.7800406172820298
406,altar,Convertible,0.8225863434297558
407,altar,Automotive,0.7711849685766922
408,amber,Convertible,0.8226545810361164
409,amber,Beauty,0.8193595153043551
410,amber,Automotive,0.7857900595900347
411,amber,Auto Body Styles,0.7699918762369837
412,ambulance,SUV,0.8447383554504475
413,ambulance,Minivan,0.8407624750891352
414,ambulance,Road-Side Assistance,0.8378370053711919
415,ambulance,Motorcycles,0.8137778423604696
416,ambulance,Commercial Trucks,0.8062126964779437
417,ambulance,Pickup Trucks,0.804352443456777
418,ambulance,Automotive,0.8001675104938857
419,ambulance,Auto Body Styles,0.7740668802414366
420,bald eagle,Birds,0.8498294217297171
421,bald eagle,Large Animals,0.8007022500717004
422,American shorthair,Cats,0.8418206479684508
423,American shorthair,Hair Care,0.7986354067131729
424,American shorthair,Pets,0.8035862242522809
425,American shorthair,Style & Fashion,0.7730792501666124
426,American shorthair,Beauty,0.7855239833914308
427,amethyst,Beauty,0.7882961812719668
428,amphitheater,Theater Venues and Events,0.856269175036003
429,amphitheater,Cinemas and Events,0.8189097676203564
430,amphitheater,Zoos & Aquariums,0.8169311812226812
431,amphitheater,Museums & Galleries,0.813627428596457
432,amphitheater,Events and Attractions,0.8118269566594527
433,amphitheater,Concerts & Music Events,0.8111064472136351
434,amphitheater,Comedy Events,0.8031216036726645
435,amplifier,Music and Audio,0.8231383637311014
436,amplifier,Consumer Electronics,0.8228165828776266
437,amplifier,Musical Instruments,0.8133680321875472
438,amplifier,Home Appliances,0.8088092069379378
439,amplifier,Technology & Computing,0.774895675085871
440,amplifier,Home & Garden,0.7686443737519371
441,amusement park,Parks & Nature,0.8459786180902278
442,amusement park,Zoos & Aquariums,0.8389451318608301
443,amusement park,Events and Attractions,0.8358927197845385
444,amusement park,Outdoor Activities,0.8306028677086293
445,amusement park,Malls & Shopping Centers,0.8172362975984728
446,amusement park,Comedy Events,0.8156181779143306
447,amusement park,Museums & Galleries,0.8150909620293213
448,amusement park,Cinemas and Events,0.8115922656616065
449,amusement park,Children's Games and Toys,0.8083423740357464
450,amusement park,Casinos & Gambling,0.806710351093085
451,amusement park,Entertainment Industry,0.8065424334646929
452,amusement park,Theater Venues and Events,0.8057299609385242
453,amusement park,Bars & Restaurants,0.7994121531577134
454,amusement ride,Children's Games and Toys,0.8148744086291508
455,amusement ride,Motorcycles,0.8140701181997911
456,amusement ride,Events and Attractions,0.8129691881605436
457,amusement ride,Zoos & Aquariums,0.8073025869253632
458,amusement ride,Comedy Events,0.8028450892322028
459,amusement ride,Travel Accessories,0.7995098993630039
460,amusement ride,Video Gaming,0.7977422450298028
461,amusement ride,Shopping,0.7814798290367942
462,amusement ride,Automotive,0.7877696458851865
463,anchor,Convertible,0.8315134551003744
464,anchor,Prom,0.8190300179306684
465,anchor,Automotive,0.7775579827345765
466,anchor,Auto Body Styles,0.7700558863869462
467,anchor,Events and Attractions,0.7877378379906781
468,ancient,Africa Travel,0.8013438373661812
469,ancient,Travel,0.7861715082809233
470,anemone,Cats,0.7901054286427462
471,angel,Beauty,0.8379907060288957
472,angel,Pets,0.8227839548569262
473,angle,Beauty,0.8162972533758936
474,angle,Style & Fashion,0.7694593771877423
475,animal,Pets,0.891949440114018
476,animal,Large Animals,0.8522332358913696
477,animal,Sports,0.8355525504357586
478,animal,Dogs,0.8314891637185046
479,animal,Birds,0.8258016760904505
480,animal,Reptiles,0.8235851402073275
481,animal,Beauty,0.8216667267052072
482,animal,Cats,0.8206434189058482
483,animal,Science,0.8201896808443251
484,animal,Zoos & Aquariums,0.8114419463093938
485,animal sculpture,Large Animals,0.8457935520448333
486,animal sculpture,Fine Art,0.8254922268507481
487,animal sculpture,Birds,0.8207152603459408
488,animal sculpture,Zoos & Aquariums,0.8045772455758768
489,animal sculpture,Museums & Galleries,0.8003841233705244
490,animal sculpture,Musical Instruments,0.7990404103062615
491,animal sculpture,Pets,0.8013560272694406
492,animal shelter,Pets,0.8433025070183843
493,animal shelter,Zoos & Aquariums,0.8402912647962095
494,animal shelter,Dogs,0.83052295941452
495,animal shelter,Cats,0.8270418112740593
496,animal shelter,Large Animals,0.8095511125287728
497,animal shelter,Parks & Nature,0.808981216126992
498,animal shelter,Daycare and Pre-School,0.8005188634876873
499,animal shelter,Events and Attractions,0.7773815077927902
500,animation,Movies,0.8593890251422193
501,animation,Beauty,0.8402154606184714
502,animation,Sports,0.8369652337188299
503,animation,Convertible,0.832394739330716
504,animation,Education,0.8310811634607734
505,animation,Travel,0.83001437932018
506,animation,Dating,0.8282776412922468
507,animation,Prom,0.8270508765658691
508,animation,Science,0.8249922585717323
509,animation,Shopping,0.8238320215130739
510,animation,Video Gaming,0.8111249723536453
511,animation,Music and Audio,0.8087341473332086
512,animation,Style & Fashion,0.7922555264911209
513,animation,Automotive,0.7833746461851571
514,animation,Auto Body Styles,0.7732790385870046
515,animation film,Movies,0.8532410837007176
516,animation film,Video Gaming,0.8055543577078422
517,animation film,Auto Shows,0.7979799743027973
518,animation film,Cinemas and Events,0.7978305924010545
519,animation film,Entertainment Industry,0.7975901129931737
520,animation film,Automotive,0.7716750467175164
521,animation film,Events and Attractions,0.7662893999797188
522,animator,Convertible,0.8130628670454663
523,animator,Automotive,0.7690481207136369
524,anime,Movies,0.8620886377037507
525,ankle,Women's Shoes and Footwear,0.7946332473875057
526,ankle,Style & Fashion,0.7679434100530452
527,anklet,Sports,0.7896223403255443
528,anniversary,Birthday,0.8467413848789855
529,anniversary,Wedding,0.845046203333243
530,anniversary,Graduation,0.8341281252069257
531,anniversary,Personal Celebrations & Life Events,0.8290017993650953
532,anniversary,Religious Events,0.8027304269435657
533,anniversary,Events and Attractions,0.7773467081142789
534,trench coat,Men's Clothing,0.8182617350720927
535,trench coat,Women's Clothing,0.8156931843255015
536,trench coat,Men's Casual Wear,0.8080779329075956
537,trench coat,Style & Fashion,0.8058369670133751
538,trench coat,Men's Formal Wear,0.8035591900201298
539,ant,Van,0.8146663572931414
540,ant,Automotive,0.7687947937437636
541,antelope,Large Animals,0.8443902620161807
542,antelope,Reptiles,0.8287723376292275
543,antelope,Birds,0.8276225131841941
544,antelope,Africa Travel,0.8007844292765957
545,antelope,Pets,0.7857691486256737
546,antelope,Travel,0.7936011429864465
547,antelope,Travel Locations,0.7720857796265351
548,antique,Fine Art,0.8133433171907962
549,antique,Auto Parts,0.8014563267539864
550,antique,Automotive,0.8131934361619504
551,antler,Large Animals,0.8265599358812488
552,antler,Birds,0.8194819707623722
553,antler,Reptiles,0.818681497205684
554,antler,Pets,0.7743486090665911
555,anvil,Musical Instruments,0.8134147108561812
556,apartment,Apartments,0.9352152742848865
557,apartment,Office Property,0.848359015737158
558,apartment,Houses,0.8306881172078042
559,apartment,Retail Property,0.8255510964616993
560,apartment,Real Estate,0.8223023905131678
561,apartment,Home Appliances,0.8183577884572205
562,apartment,Hotel Properties,0.8139824840965418
563,apartment,Smart Home,0.8030683624351598
564,apartment,Auto Rentals,0.8017206293924781
565,ape,Education,0.8295860732415786
566,ape,Beauty,0.8255757799635762
567,ape,Prom,0.8243432667341413
568,ape,Pets,0.8240098425623699
569,ape,Convertible,0.8226177214352682
570,ape,Style & Fashion,0.7751253225676811
571,ape,Events and Attractions,0.7657100159936074
572,ape,Personal Celebrations & Life Events,0.7706119786423086
573,ape,Automotive,0.7787049395532153
574,app,Prom,0.8423843658700576
575,app,Shopping,0.8227246058471342
576,app,Home Appliances,0.8131286352831754
577,app,Apparel Industry,0.8003879560086222
578,app,Auto Parts,0.7976454090484949
579,app,Events and Attractions,0.7716946157782908
580,app,Home & Garden,0.7909133108619576
581,app,Business and Finance,0.7706707444032032
582,app,Automotive,0.7912816359317337
583,app icon,Pop Culture,0.8036357746415128
584,app icon,Home Appliances,0.7982469849192985
585,app icon,Home & Garden,0.7859453205129355
586,appear,Convertible,0.8217984192233072
587,appear,Prom,0.8198394318628744
588,appear,Automotive,0.775083749786273
589,appear,Auto Body Styles,0.765373992263179
590,appear,Events and Attractions,0.7740298012770829
591,appearance,Beauty,0.8700115630027581
592,appearance,Prom,0.8320611982159505
593,appearance,Style & Fashion,0.8294252612014004
594,appearance,Dating,0.8271284299837126
595,appearance,Convertible,0.826495038404617
596,appearance,Shopping,0.8264615661025541
597,appearance,Education,0.8248924411969223
598,appearance,Sports,0.8216331308770927
599,appearance,Movies,0.8203567961686271
600,appearance,Science,0.8178535132281128
601,appearance,Makeup and Accessories,0.8045500352937609
602,appearance,Women's Formal Wear,0.801111313993524
603,appearance,Parks & Nature,0.7975119398728181
604,appearance,Events and Attractions,0.7858935132868144
605,appearance,Personal Celebrations & Life Events,0.7699569562169066
606,appetizer,Food & Drink,0.8344393813253057
607,appetizer,Dining Out,0.8318908515134594
608,appetizer,Home Entertaining,0.8165835329302273
609,appetizer,World Cuisines,0.8155021285810657
610,appetizer,Desserts and Baking,0.812405406628804
611,appetizer,Barbecues and Grilling,0.8023399035151181
612,appetizer,Home Appliances,0.7997306277074747
613,appetizer,Grocery Shopping,0.7993746203569532
614,appetizer,Home & Garden,0.7855161615419428
615,applause,Graduation,0.8230387129014739
616,applause,Awards Shows,0.8036021677690802
617,applause,Personal Celebrations & Life Events,0.77282478342719
618,apple,Shopping,0.8373224323427138
619,apple,Beauty,0.8290566791631669
620,apple,Smartphones,0.8290314644051204
621,apple,Sports,0.8211852167173601
622,apple,Laptops,0.8203336217538686
623,apple,Technology Industry,0.8071412649919742
624,apple,Technology & Computing,0.8068644869017668
625,apple,Music and Audio,0.8050604940401201
626,apple,Consumer Electronics,0.8044349089854573
627,apple,Home Appliances,0.8029023321508926
628,apple,Grocery Shopping,0.8014172294993471
629,apple,Food & Drink,0.800729960912095
630,apple,Tablets and E-readers,0.8004630836985099
631,apple,Style & Fashion,0.7788221502051065
632,apple juice,Alcoholic Beverages,0.8111292127990204
633,apple juice,Food & Drink,0.8093713683651491
634,apple juice,Non-Alcoholic Beverages,0.8092656801391749
635,apple pie,Desserts and Baking,0.8202019514923036
636,apple pie,Food & Drink,0.7936677464580283
637,apple tree,Asia Travel,0.8113327018151912
638,apple tree,Travel,0.7690325048019347
639,applesauce,Cooking,0.8033838422869022
640,applesauce,Food & Drink,0.7851677105349363
641,appliance,Home Appliances,0.9192228500008279
642,appliance,Household Supplies,0.8334479424425149
643,appliance,Apartments,0.8289721994226112
644,appliance,Consumer Electronics,0.8256967158167599
645,appliance,Automotive,0.8245153473669414
646,appliance,Laptops,0.8219962169947679
647,appliance,Auto Parts,0.8187367036614625
648,appliance,SUV,0.8175029975111376
649,appliance,Smart Home,0.8170040509238536
